type,InjuryOnly,agegroup,Annual_Average_Count,rate,flag,rank_unique,Intent,cause_text
Death,0,All ages,5523,66.12375319,,1,,Heart disease
Death,0,All ages,3859,46.20840261,,2,,Malignant neoplasms
Death,0,All ages,2743,32.842368723,,3,,COVID-19
Death,0,All ages,1885,22.569400307,,4,,Other natural causes
Death,0,All ages,1318,15.776629428,,5,Injury,Injury: Unintentional
Death,0,All ages,716,8.576771222,,6,,Cerebrovascular disease
Death,0,All ages,571,6.840663506,,7,,Diabetes
Death,0,All ages,543,6.4974330151,,8,,Influenza and pneumonia
Death,0,All ages,460,5.5036610122,,9,,Chronic lower respiratory diseases
Death,0,All ages,429,5.1404752601,,10,,Other diseases of nervous system
Death,1,All ages,898,10.74790363,,1,Unintentional,Poisoning
Death,1,All ages,201,2.406604489,,2,Unintentional,Fall
Death,1,All ages,112,1.3449845983,,3,Homicide,Firearm
Death,1,All ages,98,1.1693783006,,4,Unintentional,Motor Vehicle Traffic
Death,1,All ages,66,0.7902283397,,5,Suicide,Suffocation
Death,1,All ages,58,0.6944430864,,6,Undetermined,Unknown Mechanism
Death,1,All ages,42,0.506863632,,7,Unintentional,Suffocation
Death,1,All ages,40,0.4789262665,,8,Suicide,Fall
Death,1,All ages,31,0.3671768043,,9,Suicide,Poisoning
Death,1,All ages,25,0.3033199688,,10,Homicide,Cut or Pierce
Death,1,<1,5,5.2052933682,*,1,Undetermined,Unknown Mechanism
Death,1,<1,2,1.7350977894,*,2,Unintentional,Suffocation
Death,1,<1,2,1.7350977894,*,3,Homicide,Unknown Mechanism
Death,1,<1,,,^,4,,
Death,1,<1,,,^,5,,
Death,1,<1,,,^,6,,
Death,1,<1,,,^,7,,
Death,1,<1,,,^,8,,
Death,1,<1,,,^,9,,
Death,1,<1,,,^,10,,
Death,1,1 - 4,,,^,1,,
Death,1,1 - 4,,,^,2,,
Death,1,1 - 4,,,^,3,,
Death,1,1 - 4,,,^,4,,
Death,1,1 - 4,,,^,5,,
Death,1,1 - 4,,,^,6,,
Death,1,1 - 4,,,^,7,,
Death,1,1 - 4,,,^,8,,
Death,1,1 - 4,,,^,9,,
Death,1,1 - 4,,,^,10,,
Death,1,5 - 9,2,0.350574346,*,1,Unintentional,Fire or Burn
Death,1,5 - 9,,,^,2,,
Death,1,5 - 9,,,^,3,,
Death,1,5 - 9,,,^,4,,
Death,1,5 - 9,,,^,5,,
Death,1,5 - 9,,,^,6,,
Death,1,5 - 9,,,^,7,,
Death,1,5 - 9,,,^,8,,
Death,1,10 - 14,2,0.3580166736,*,1,Suicide,Suffocation
Death,1,10 - 14,,,^,2,,
Death,1,10 - 14,,,^,3,,
Death,1,10 - 14,,,^,4,,
Death,1,10 - 14,,,^,5,,
Death,1,10 - 14,,,^,6,,
Death,1,10 - 14,,,^,7,,
Death,1,10 - 14,,,^,8,,
Death,1,15 - 24,34,3.6316697113,,1,Homicide,Firearm
Death,1,15 - 24,27,2.8207143389,,2,Unintentional,Poisoning
Death,1,15 - 24,14,1.5161339571,,3,Unintentional,Motor Vehicle Traffic
Death,1,15 - 24,6,0.599401797,,4,Suicide,Fall
Death,1,15 - 24,5,0.5288839385,*,5,Suicide,Suffocation
Death,1,15 - 24,5,0.5288839385,*,6,Suicide,Poisoning
Death,1,15 - 24,3,0.3173303631,*,7,Undetermined,Unknown Mechanism
Death,1,15 - 24,2,0.2115535754,*,8,Homicide,Cut or Pierce
Death,1,15 - 24,,,*,9,,
Death,1,15 - 24,,,*,10,,
Death,1,25 - 34,136,9.8143759921,,1,Unintentional,Poisoning
Death,1,25 - 34,48,3.463897409,,2,Homicide,Firearm
Death,1,25 - 34,18,1.3230163715,,3,Unintentional,Motor Vehicle Traffic
Death,1,25 - 34,17,1.226796999,,4,Suicide,Suffocation
Death,1,25 - 34,8,0.5773162348,,5,Suicide,Fall
Death,1,25 - 34,8,0.5773162348,,6,Homicide,Cut or Pierce
Death,1,25 - 34,7,0.4810968624,,7,Suicide,Poisoning
Death,1,25 - 34,5,0.3367678037,*,8,Undetermined,Unknown Mechanism
Death,1,25 - 34,5,0.3367678037,*,9,Unintentional,Fall
Death,1,25 - 34,4,0.2646032743,*,10,Unintentional,Suffocation
Death,1,35 - 44,194,16.726326778,,1,Unintentional,Poisoning
Death,1,35 - 44,19,1.6697537919,,2,Homicide,Firearm
Death,1,35 - 44,16,1.3530763486,,3,Unintentional,Motor Vehicle Traffic
Death,1,35 - 44,15,1.2667097732,,4,Undetermined,Unknown Mechanism
Death,1,35 - 44,12,1.0076100469,,5,Suicide,Suffocation
Death,1,35 - 44,7,0.5757771696,,6,Suicide,Fall
Death,1,35 - 44,7,0.5757771696,,7,Homicide,Cut or Pierce
Death,1,35 - 44,6,0.5181994527,,8,Unintentional,Fall
Death,1,35 - 44,4,0.3454663018,*,9,Suicide,Poisoning
Death,1,35 - 44,3,0.2878885848,*,10,Unintentional,Other Pedestrian
Death,1,45 - 54,197,19.259842935,,1,Unintentional,Poisoning
Death,1,45 - 54,11,1.106139628,,2,Unintentional,Motor Vehicle Traffic
Death,1,45 - 54,10,0.9760055541,,3,Unintentional,Fall
Death,1,45 - 54,7,0.6832038879,,4,Suicide,Poisoning
