MinWage,Neighborhood,Scenario,Time,Variable,Value
a20,low,scen1,Before,Poverty,16.4
a20,low,scen1,After,Poverty,16.3
a20,low,scen2,Before,Poverty,16.4
a20,low,scen2,After,Poverty,16.2
a20,low,scen3,Before,Poverty,16.4
a20,low,scen3,After,Poverty,16.8
a20,moderate,scen1,Before,Poverty,28.4
a20,moderate,scen1,After,Poverty,27.9
a20,moderate,scen2,Before,Poverty,28.4
a20,moderate,scen2,After,Poverty,27.5
a20,moderate,scen3,Before,Poverty,28.4
a20,moderate,scen3,After,Poverty,29
a20,high,scen1,Before,Poverty,38.9
a20,high,scen1,After,Poverty,37.6
a20,high,scen2,Before,Poverty,38.9
a20,high,scen2,After,Poverty,37.3
a20,high,scen3,Before,Poverty,38.9
a20,high,scen3,After,Poverty,38.6
a20,veryhigh,scen1,Before,Poverty,57.3
a20,veryhigh,scen1,After,Poverty,55.1
a20,veryhigh,scen2,Before,Poverty,57.3
a20,veryhigh,scen2,After,Poverty,54.7
a20,veryhigh,scen3,Before,Poverty,57.3
a20,veryhigh,scen3,After,Poverty,56.7
a20,NYC,scen1,Before,Poverty,33.5
a20,NYC,scen1,After,Poverty,32.5
a20,NYC,scen2,Before,Poverty,33.5
a20,NYC,scen2,After,Poverty,32.2
a20,NYC,scen3,Before,Poverty,33.5
a20,NYC,scen3,After,Poverty,33.6
a20,low,scen1,Before,PrematureMort,118.3
a20,low,scen1,After,PrematureMort,117.7
a20,low,scen2,Before,PrematureMort,118.3
a20,low,scen2,After,PrematureMort,117.5
a20,low,scen3,Before,PrematureMort,118.3
a20,low,scen3,After,PrematureMort,119.7
a20,moderate,scen1,Before,PrematureMort,183.8
a20,moderate,scen1,After,PrematureMort,181.9
a20,moderate,scen2,Before,PrematureMort,183.8
a20,moderate,scen2,After,PrematureMort,180.6
a20,moderate,scen3,Before,PrematureMort,183.8
a20,moderate,scen3,After,PrematureMort,185.8
a20,high,scen1,Before,PrematureMort,250.5
a20,high,scen1,After,PrematureMort,245.8
a20,high,scen2,Before,PrematureMort,250.5
a20,high,scen2,After,PrematureMort,244.8
a20,high,scen3,Before,PrematureMort,250.5
a20,high,scen3,After,PrematureMort,249.5
a20,veryhigh,scen1,Before,PrematureMort,353.3
a20,veryhigh,scen1,After,PrematureMort,345.8
a20,veryhigh,scen2,Before,PrematureMort,353.3
a20,veryhigh,scen2,After,PrematureMort,344.3
a20,veryhigh,scen3,Before,PrematureMort,353.3
a20,veryhigh,scen3,After,PrematureMort,351.2
a20,NYC,scen1,Before,PrematureMort,215.7
a20,NYC,scen1,After,PrematureMort,212.4
a20,NYC,scen2,Before,PrematureMort,215.7
a20,NYC,scen2,After,PrematureMort,211.4
a20,NYC,scen3,Before,PrematureMort,215.7
a20,NYC,scen3,After,PrematureMort,216.1
b30,low,scen1,Before,Poverty,16.4
b30,low,scen1,After,Poverty,14.9
b30,low,scen2,Before,Poverty,16.4
b30,low,scen2,After,Poverty,14.7
b30,low,scen3,Before,Poverty,16.4
b30,low,scen3,After,Poverty,16.8
b30,moderate,scen1,Before,Poverty,28.4
b30,moderate,scen1,After,Poverty,23.6
b30,moderate,scen2,Before,Poverty,28.4
b30,moderate,scen2,After,Poverty,22.8
b30,moderate,scen3,Before,Poverty,28.4
b30,moderate,scen3,After,Poverty,26.9
b30,high,scen1,Before,Poverty,38.9
b30,high,scen1,After,Poverty,31.8
b30,high,scen2,Before,Poverty,38.9
b30,high,scen2,After,Poverty,31.1
b30,high,scen3,Before,Poverty,38.9
b30,high,scen3,After,Poverty,34.8
b30,veryhigh,scen1,Before,Poverty,57.3
b30,veryhigh,scen1,After,Poverty,49.5
b30,veryhigh,scen2,Before,Poverty,57.3
b30,veryhigh,scen2,After,Poverty,48.8
b30,veryhigh,scen3,Before,Poverty,57.3
b30,veryhigh,scen3,After,Poverty,52.7
b30,NYC,scen1,Before,Poverty,33.5
b30,NYC,scen1,After,Poverty,28.3
b30,NYC,scen2,Before,Poverty,33.5
b30,NYC,scen2,After,Poverty,27.7
b30,NYC,scen3,Before,Poverty,33.5
b30,NYC,scen3,After,Poverty,31.2
b30,low,scen1,Before,PrematureMort,118.3
b30,low,scen1,After,PrematureMort,112.9
b30,low,scen2,Before,PrematureMort,118.3
b30,low,scen2,After,PrematureMort,112.2
b30,low,scen3,Before,PrematureMort,118.3
b30,low,scen3,After,PrematureMort,119.5
b30,moderate,scen1,Before,PrematureMort,183.8
b30,moderate,scen1,After,PrematureMort,166.9
b30,moderate,scen2,Before,PrematureMort,183.8
b30,moderate,scen2,After,PrematureMort,163.8
b30,moderate,scen3,Before,PrematureMort,183.8
b30,moderate,scen3,After,PrematureMort,178.4
b30,high,scen1,Before,PrematureMort,250.5
b30,high,scen1,After,PrematureMort,225.5
b30,high,scen2,Before,PrematureMort,250.5
b30,high,scen2,After,PrematureMort,223
b30,high,scen3,Before,PrematureMort,250.5
b30,high,scen3,After,PrematureMort,236
b30,veryhigh,scen1,Before,PrematureMort,353.3
b30,veryhigh,scen1,After,PrematureMort,325.7
b30,veryhigh,scen2,Before,PrematureMort,353.3
b30,veryhigh,scen2,After,PrematureMort,323.3
b30,veryhigh,scen3,Before,PrematureMort,353.3
b30,veryhigh,scen3,After,PrematureMort,337
b30,NYC,scen1,Before,PrematureMort,215.7
b30,NYC,scen1,After,PrematureMort,197.6
b30,NYC,scen2,Before,PrematureMort,215.7
b30,NYC,scen2,After,PrematureMort,195.4
b30,NYC,scen3,Before,PrematureMort,215.7
b30,NYC,scen3,After,PrematureMort,207.6
