EPA product name,EPA reg. #,Volume (gallons),Weight (pounds),Total applications,Active ingredient data,EPA toxicity category,Prop65 developmental toxin,EPA carcinogen,IARC carcinogen
GARLON 4 ULTRA,62719-527,139.3,32.1,457,Triclopyr,2,NO,NO,NO
FINALE XL,7969-464,174.1,0.0,455,Glufosinate-ammonium,2,NO,NO,NO
MILESTONE,62719-519,11.5,0.0,412,"Aminopyralid, triisopropanolamine salt",3,NO,NO,NO
METHOD 240SL HERBICIDE,101563-177,13.0,0.0,358,Aminocyclopyrachlor potassium salt,3,NO,NO,NO
NUFARM POLARIS HERBICIDE,228-534,24.5,0.0,355,"Imazapyr, isopropylamine salt",3,NO,NO,NO
ESPLANADE 200 SC,101563-144,6.7,0.0,355,Indaziflam,3,NO,NO,NO
PATHFINDER II,62719-176,82.0,2.9,306,"Triclopyr, butoxyethyl ester",3,NO,NO,NO
VASTLAN,62719-687,99.3,0.0,109,"Triclopyr, Choline Salt",2,NO,NO,NO
CLEARCAST HERBICIDE,241-437-67690,84.5,0.0,80,Imazamox,3,NO,NO,NO
GLYPRO,62719-324,18.3,0.0,71,"Glyphosate, isopropylamine salt",3,NO,NO,YES
