Target,Volume (gallons),Weight (pounds),Total applications,Percent of total applications
Mosquitoes,461.1,57350.4,493346,58.6%
Roaches,130.5,5574.7,199236,23.6%
Rats,20457.8,46931.7,95080,11.3%
Mice,3.5,7322.2,29798,3.5%
Ants,13.6,5539.4,9279,1.1%
Bedbugs,61.8,531.5,4482,0.5%
"Weeds, vines, or grasses",1563,63149.5,3680,0.4%
Flying insects,18,1138.4,3059,0.4%
Fungal Disease or Infestation,4133.9,13052,1497,0.2%
Other Pests,162.7,617.7,1007,0.1%
Missing Target Organism,12.7,713.1,892,0.1%
Other Crawling Insects,211.4,1376.7,826,0.1%
Other Rodents,0,17.4,471,0.1%
Termites,0,10.8,13,0.0%
Totals,27229.9,203325.3,842666,100.0%
