Pesticide type,Agency,Volume (gallons),Weight (pounds),Total applications
Rodenticide,ACS,0.00,57.08,353
Insecticide,ACS,1.49,27.84,652
Rodenticide,BK LIBRARY,0.00,194.87,691
Insecticide,BK LIBRARY,0.32,78.25,918
Rodenticide,BOE,0.00,0.37,3
Insecticide,BOE,0.04,0.18,21
Rodenticide,CUNY,0.00,142.97,510
Insecticide,CUNY,39.01,27.08,580
Rodenticide,DCAS,0.00,459.54,1293
Insecticide,DCAS,2.12,21.05,843
Rodenticide,DEP,500.01,505.31,1143
Insecticide,DEP,0.98,4.13,142
Herbicide,DEP,70.04,0.00,60
Rodenticide,DHS,0.00,73.77,391
Insecticide,DHS,1.44,16.80,512
Rodenticide,DOC,5.54,8.52,97
Insecticide,DOC,5.88,9.26,261
Rodenticide,DOE,14632.23,4793.66,12104
Insecticide,DOE,45.78,2305.66,16952
Rodenticide,DOF,0.00,4.01,21
Insecticide,DOF,0.01,2.12,63
Rodenticide,DOHMH,966.87,21488.31,31736
Insecticide,DOHMH,459.32,57309.51,493393
Rodenticide,DOT,0.00,827.26,2812
Insecticide,DOT,2.26,72.52,1604
Herbicide,DOT,321.98,0.00,2271
Rodenticide,DSNY,0.28,246.49,302
Insecticide,DSNY,3.79,6.93,709
Rodenticide,EDC,0.00,854.54,1206
Insecticide,EDC,0.00,3.01,4
Rodenticide,FDNY,0.00,677.69,2659
Insecticide,FDNY,4.37,199.46,3882
Rodenticide,HHC,0.00,345.26,444
Insecticide,HHC,12.91,288.36,3182
Rodenticide,HPD,0.00,78.38,137
Insecticide,HPD,0.04,10.70,53
Rodenticide,HRA,0.00,14.89,71
Insecticide,HRA,0.67,4.43,345
Rodenticide,NYCHA,2311.52,16304.25,57521
Insecticide,NYCHA,114.50,6077.81,188186
Rodenticide,NYPD,0.00,271.65,1042
Insecticide,NYPD,1.13,51.80,874
Rodenticide,OCME,0.00,9.19,55
Insecticide,OCME,0.35,2.40,141
Rodenticide,Parks,2044.88,4402.66,2893
Other,Parks,78.96,0.43,66
Insecticide,Parks,296.26,7299.63,1407
Herbicide,Parks,1170.92,63149.48,1349
Fungicide,Parks,4133.85,13051.96,1497
Rodenticide,SCA,0.00,1542.70,5164
Insecticide,SCA,0.05,1.09,29
Insecticide,TLC,0.06,0.06,22
