SiteName,Operator,starttime,timeofday,Value
Broadway_35th_St,nyccas,2024-04-25T08:00:00,08:00 AM,6.11
Broadway_35th_St,nyccas,2024-04-25T09:00:00,09:00 AM,6.03
Broadway_35th_St,nyccas,2024-04-25T10:00:00,10:00 AM,5.99
Broadway_35th_St,nyccas,2024-04-25T11:00:00,11:00 AM,6.15
Broadway_35th_St,nyccas,2024-04-25T12:00:00,12:00 PM,7.22
Broadway_35th_St,nyccas,2024-04-25T13:00:00,01:00 PM,7.48
Broadway_35th_St,nyccas,2024-04-25T14:00:00,02:00 PM,6.96
Broadway_35th_St,nyccas,2024-04-25T15:00:00,03:00 PM,9.03
Broadway_35th_St,nyccas,2024-04-25T16:00:00,04:00 PM,7.89
Broadway_35th_St,nyccas,2024-04-25T17:00:00,05:00 PM,9.54
Broadway_35th_St,nyccas,2024-04-25T18:00:00,06:00 PM,9.53
Broadway_35th_St,nyccas,2024-04-25T19:00:00,07:00 PM,10.84
Broadway_35th_St,nyccas,2024-04-25T20:00:00,08:00 PM,11
Broadway_35th_St,nyccas,2024-04-25T21:00:00,09:00 PM,11.36
Broadway_35th_St,nyccas,2024-04-25T22:00:00,10:00 PM,9.11
Broadway_35th_St,nyccas,2024-04-25T23:00:00,11:00 PM,7.99
Broadway_35th_St,nyccas,2024-04-26T00:00:00,12:00 AM,7.49
Broadway_35th_St,nyccas,2024-04-26T01:00:00,01:00 AM,7.65
Broadway_35th_St,nyccas,2024-04-26T02:00:00,02:00 AM,7.51
Broadway_35th_St,nyccas,2024-04-26T03:00:00,03:00 AM,7.91
Broadway_35th_St,nyccas,2024-04-26T04:00:00,04:00 AM,7.4
Broadway_35th_St,nyccas,2024-04-26T05:00:00,05:00 AM,8.33
Broadway_35th_St,nyccas,2024-04-26T06:00:00,06:00 AM,9.23
Broadway_35th_St,nyccas,2024-04-26T07:00:00,07:00 AM,10.27
Broadway_35th_St,nyccas,2024-04-26T08:00:00,08:00 AM,11.31
Broadway_35th_St,nyccas,2024-04-26T09:00:00,09:00 AM,12.09
Broadway_35th_St,nyccas,2024-04-26T10:00:00,10:00 AM,10.84
Broadway_35th_St,nyccas,2024-04-26T11:00:00,11:00 AM,10.22
Broadway_35th_St,nyccas,2024-04-26T12:00:00,12:00 PM,12.84
Broadway_35th_St,nyccas,2024-04-26T13:00:00,01:00 PM,14.44
Broadway_35th_St,nyccas,2024-04-26T14:00:00,02:00 PM,12.46
