SiteName,Operator,starttime,timeofday,Value
Broadway_35th_St,nyccas,2023-11-27T10:00:00,10:00 AM,15.17
Broadway_35th_St,nyccas,2023-11-27T11:00:00,11:00 AM,8.62
Broadway_35th_St,nyccas,2023-11-27T12:00:00,12:00 PM,8.21
Broadway_35th_St,nyccas,2023-11-27T13:00:00,01:00 PM,8.22
Broadway_35th_St,nyccas,2023-11-27T14:00:00,02:00 PM,7
Broadway_35th_St,nyccas,2023-11-27T15:00:00,03:00 PM,6.47
Broadway_35th_St,nyccas,2023-11-27T16:00:00,04:00 PM,7.26
Broadway_35th_St,nyccas,2023-11-27T17:00:00,05:00 PM,8.7
Broadway_35th_St,nyccas,2023-11-27T18:00:00,06:00 PM,8.94
Broadway_35th_St,nyccas,2023-11-27T19:00:00,07:00 PM,8.74
Broadway_35th_St,nyccas,2023-11-27T20:00:00,08:00 PM,9.21
Broadway_35th_St,nyccas,2023-11-27T21:00:00,09:00 PM,8.58
Broadway_35th_St,nyccas,2023-11-27T22:00:00,10:00 PM,7.77
Broadway_35th_St,nyccas,2023-11-27T23:00:00,11:00 PM,6.58
Broadway_35th_St,nyccas,2023-11-28T00:00:00,12:00 AM,5.93
Broadway_35th_St,nyccas,2023-11-28T01:00:00,01:00 AM,5.88
Broadway_35th_St,nyccas,2023-11-28T02:00:00,02:00 AM,5.64
Broadway_35th_St,nyccas,2023-11-28T03:00:00,03:00 AM,5.4
Broadway_35th_St,nyccas,2023-11-28T04:00:00,04:00 AM,4.96
Broadway_35th_St,nyccas,2023-11-28T05:00:00,05:00 AM,5.36
Broadway_35th_St,nyccas,2023-11-28T06:00:00,06:00 AM,5.55
Broadway_35th_St,nyccas,2023-11-28T07:00:00,07:00 AM,6.66
Broadway_35th_St,nyccas,2023-11-28T08:00:00,08:00 AM,7.39
Broadway_35th_St,nyccas,2023-11-28T09:00:00,09:00 AM,7.54
Broadway_35th_St,nyccas,2023-11-28T10:00:00,10:00 AM,8.49
Broadway_35th_St,nyccas,2023-11-28T11:00:00,11:00 AM,8.03
Broadway_35th_St,nyccas,2023-11-28T12:00:00,12:00 PM,8.2
Broadway_35th_St,nyccas,2023-11-28T13:00:00,01:00 PM,7.92
Broadway_35th_St,nyccas,2023-11-28T14:00:00,02:00 PM,7.6
Broadway_35th_St,nyccas,2023-11-28T15:00:00,03:00 PM,7.39
Broadway_35th_St,nyccas,2023-11-28T16:00:00,04:00 PM,6.03
Broadway_35th_St,nyccas,2023-11-28T17:00:00,05:00 PM,6.37
Broadway_35th_St,nyccas,2023-11-28T18:00:00,06:00 PM,6.45
Broadway_35th_St,nyccas,2023-11-28T19:00:00,07:00 PM,5.68
Broadway_35th_St,nyccas,2023-11-28T20:00:00,08:00 PM,5.28
Broadway_35th_St,nyccas,2023-11-28T21:00:00,09:00 PM,5.22
Broadway_35th_St,nyccas,2023-11-28T22:00:00,10:00 PM,4.62
Broadway_35th_St,nyccas,2023-11-28T23:00:00,11:00 PM,4.17
Broadway_35th_St,nyccas,2023-11-29T00:00:00,12:00 AM,4.13
Broadway_35th_St,nyccas,2023-11-29T01:00:00,01:00 AM,4.21
Broadway_35th_St,nyccas,2023-11-29T02:00:00,02:00 AM,4.29
Broadway_35th_St,nyccas,2023-11-29T03:00:00,03:00 AM,4.2
Broadway_35th_St,nyccas,2023-11-29T04:00:00,04:00 AM,4.54
Broadway_35th_St,nyccas,2023-11-29T05:00:00,05:00 AM,5.35
Broadway_35th_St,nyccas,2023-11-29T06:00:00,06:00 AM,6
Broadway_35th_St,nyccas,2023-11-29T07:00:00,07:00 AM,6.92
Broadway_35th_St,nyccas,2023-11-29T08:00:00,08:00 AM,7.54
Broadway_35th_St,nyccas,2023-11-29T09:00:00,09:00 AM,7.59
Broadway_35th_St,nyccas,2023-11-29T10:00:00,10:00 AM,8.66
Broadway_35th_St,nyccas,2023-11-29T11:00:00,11:00 AM,8.91
Broadway_35th_St,nyccas,2023-11-29T12:00:00,12:00 PM,9.96
Broadway_35th_St,nyccas,2023-11-29T13:00:00,01:00 PM,9.28
Broadway_35th_St,nyccas,2023-11-29T14:00:00,02:00 PM,8.51
Broadway_35th_St,nyccas,2023-11-29T15:00:00,03:00 PM,8.37
Broadway_35th_St,nyccas,2023-11-29T16:00:00,04:00 PM,7.87
Broadway_35th_St,nyccas,2023-11-29T17:00:00,05:00 PM,8.26
Broadway_35th_St,nyccas,2023-11-29T18:00:00,06:00 PM,10.46
Broadway_35th_St,nyccas,2023-11-29T19:00:00,07:00 PM,9.52
Broadway_35th_St,nyccas,2023-11-29T20:00:00,08:00 PM,9.24
Broadway_35th_St,nyccas,2023-11-29T21:00:00,09:00 PM,9.69
Broadway_35th_St,nyccas,2023-11-29T22:00:00,10:00 PM,9.44
Broadway_35th_St,nyccas,2023-11-29T23:00:00,11:00 PM,8.93
Broadway_35th_St,nyccas,2023-11-30T00:00:00,12:00 AM,9.54
Broadway_35th_St,nyccas,2023-11-30T01:00:00,01:00 AM,9.29
Broadway_35th_St,nyccas,2023-11-30T02:00:00,02:00 AM,9.24
Broadway_35th_St,nyccas,2023-11-30T03:00:00,03:00 AM,9.45
Broadway_35th_St,nyccas,2023-11-30T04:00:00,04:00 AM,9.64
Broadway_35th_St,nyccas,2023-11-30T05:00:00,05:00 AM,9.88
Broadway_35th_St,nyccas,2023-11-30T06:00:00,06:00 AM,10.96
Broadway_35th_St,nyccas,2023-11-30T07:00:00,07:00 AM,11.11
Broadway_35th_St,nyccas,2023-11-30T08:00:00,08:00 AM,12.65
Broadway_35th_St,nyccas,2023-11-30T09:00:00,09:00 AM,14.11
Broadway_35th_St,nyccas,2023-11-30T10:00:00,10:00 AM,14.48
Broadway_35th_St,nyccas,2023-11-30T11:00:00,11:00 AM,14.91
Broadway_35th_St,nyccas,2023-11-30T12:00:00,12:00 PM,15.86
Broadway_35th_St,nyccas,2023-11-30T13:00:00,01:00 PM,14.78
Broadway_35th_St,nyccas,2023-11-30T14:00:00,02:00 PM,14.74
