GEOCODE,VARIABLE,VALUE,NAME,BORO
3701,Heating breakdown,18,Riverdale/Kingsbridge,Bronx
3702,Heating breakdown,15,Williamsbridge/Baychester,Bronx
3703,Heating breakdown,6,Throgs Neck/Co-op City,Bronx
3704,Heating breakdown,12,Pelham Parkway,Bronx
3705,Heating breakdown,15,Morrisania/East Tremont,Bronx
3706,Heating breakdown,18,Kings.Heights/Mosholu,Bronx
3707,Heating breakdown,26,Univ.Heights/Fordham,Bronx
3708,Heating breakdown,19,Highbridge/S.Concourse,Bronx
3709,Heating breakdown,12,Soundview/Parkchester,Bronx
3710,Heating breakdown,20,Mott Haven/Hunts Point,Bronx
3801,Heating breakdown,13,Washington Heights/Inwood,Manhattan
3802,Heating breakdown,19,Morning.Heights/Hamilton Heights,Manhattan
3803,Heating breakdown,20,Central Harlem,Manhattan
3804,Heating breakdown,18,East Harlem,Manhattan
3805,Heating breakdown,7,Upper East Side,Manhattan
3806,Heating breakdown,9,Upper West Side,Manhattan
3807,Heating breakdown,7,Chealsea/Clinton/Midtown,Manhattan
3808,Heating breakdown,5,Stuy.Town/Turtle Bay,Manhattan
3809,Heating breakdown,17,L.East Side/Chinatown,Manhattan
3810,Heating breakdown,7,Green.Village/Fin.District,Manhattan
3901,Heating breakdown,5,South Shore,Staten Island
3902,Heating breakdown,0,Mid Island,Staten Island
3903,Heating breakdown,5,North Shore,Staten Island
4001,Heating breakdown,10,Williamsburg/Greenpoint,Brooklyn
4002,Heating breakdown,12,Bushwick,Brooklyn
4003,Heating breakdown,17,Bedford Stuyvesant,Brooklyn
4004,Heating breakdown,16,Brooklyn Heights/Fort Greene,Brooklyn
4005,Heating breakdown,11,Park Slope/Carroll Gardens,Brooklyn
4006,Heating breakdown,19,N.Crown Heights/Pros.Heights,Brooklyn
4007,Heating breakdown,19,Brownsville/Ocean Hill,Brooklyn
4008,Heating breakdown,14,East New York/Starret City,Brooklyn
4009,Heating breakdown,9,Flatlands/Canarsie,Brooklyn
4010,Heating breakdown,11,East Flatbush,Brooklyn
4011,Heating breakdown,13,South Crown Heights,Brooklyn
4012,Heating breakdown,10,Sunset Park,Brooklyn
4013,Heating breakdown,4,Bay Ridge,Brooklyn
4014,Heating breakdown,8,Borough Park,Brooklyn
4015,Heating breakdown,9,Flatbush,Brooklyn
4016,Heating breakdown,7,Sheepshead Bay/Gravesend,Brooklyn
4017,Heating breakdown,5,Bensonhurst,Brooklyn
4018,Heating breakdown,7,Coney Island,Brooklyn
4101,Heating breakdown,15,Astoria,Queens
4102,Heating breakdown,6,Jackson Heights,Queens
4103,Heating breakdown,6,Flushing/Whitestone,Queens
4104,Heating breakdown,3,Bayside/Little Neck,Queens
4105,Heating breakdown,9,Bellerose/Rosedale,Queens
4106,Heating breakdown,4,Hillcrest/Fresh Meadows,Queens
4107,Heating breakdown,6,Elmhurst/Corona,Queens
4108,Heating breakdown,5,Forest Hills/Rego Park,Queens
4109,Heating breakdown,11,Sunnyside/Woodside,Queens
4110,Heating breakdown,3,Middle Village/Ridgewood,Queens
4111,Heating breakdown,3,Kew Gardens/Woodhaven,Queens
4112,Heating breakdown,9,Jamaica,Queens
4113,Heating breakdown,3,Howard Beach/S.Ozone Park,Queens
4114,Heating breakdown,10,Rockaways,Queens
3701,Supplemental heat,14,Riverdale/Kingsbridge,Bronx
3702,Supplemental heat,23,Williamsbridge/Baychester,Bronx
3703,Supplemental heat,6,Throgs Neck/Co-op City,Bronx
3704,Supplemental heat,19,Pelham Parkway,Bronx
3705,Supplemental heat,21,Morrisania/East Tremont,Bronx
3706,Supplemental heat,22,Kings.Heights/Mosholu,Bronx
3707,Supplemental heat,27,Univ.Heights/Fordham,Bronx
3708,Supplemental heat,23,Highbridge/S.Concourse,Bronx
3709,Supplemental heat,19,Soundview/Parkchester,Bronx
3710,Supplemental heat,22,Mott Haven/Hunts Point,Bronx
3801,Supplemental heat,15,Washington Heights/Inwood,Manhattan
3802,Supplemental heat,23,Morning.Heights/Hamilton Heights,Manhattan
3803,Supplemental heat,20,Central Harlem,Manhattan
3804,Supplemental heat,20,East Harlem,Manhattan
3805,Supplemental heat,8,Upper East Side,Manhattan
3806,Supplemental heat,13,Upper West Side,Manhattan
3807,Supplemental heat,5,Chealsea/Clinton/Midtown,Manhattan
3808,Supplemental heat,6,Stuy.Town/Turtle Bay,Manhattan
3809,Supplemental heat,21,L.East Side/Chinatown,Manhattan
3810,Supplemental heat,10,Green.Village/Fin.District,Manhattan
3901,Supplemental heat,6,South Shore,Staten Island
3902,Supplemental heat,5,Mid Island,Staten Island
3903,Supplemental heat,12,North Shore,Staten Island
4001,Supplemental heat,15,Williamsburg/Greenpoint,Brooklyn
4002,Supplemental heat,17,Bushwick,Brooklyn
4003,Supplemental heat,22,Bedford Stuyvesant,Brooklyn
4004,Supplemental heat,11,Brooklyn Heights/Fort Greene,Brooklyn
4005,Supplemental heat,9,Park Slope/Carroll Gardens,Brooklyn
4006,Supplemental heat,22,N.Crown Heights/Pros.Heights,Brooklyn
4007,Supplemental heat,27,Brownsville/Ocean Hill,Brooklyn
