NTACODE,BORO,BoroCode,NTA_NAME,TotalPM,PM_tertiles,TotalNOx,NOx_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
BK0101,Brooklyn,3,Greenpoint,2.086681416,Medium,36.66566201,Medium,High,High,High,Low
BK0102,Brooklyn,3,Williamsburg,4.626973333,High,80.46919339,High,High,High,High,High
BK0103,Brooklyn,3,South Williamsburg,4.594410766,High,79.75365048,High,Low,Medium,High,High
BK0104,Brooklyn,3,East Williamsburg,10.60950211,High,184.0251502,High,High,High,High,High
BK0201,Brooklyn,3,Brooklyn Heights,3.868041333,High,66.84560117,High,High,High,Low,High
BK0202,Brooklyn,3,Downtown Brooklyn-DUMBO-Boerum Hill,7.915366678,High,138.0292637,High,High,High,High,High
BK0203,Brooklyn,3,Fort Greene,4.735909349,High,82.63820045,High,High,High,High,High
BK0204,Brooklyn,3,Clinton Hill,3.949710172,High,68.60561269,High,High,Medium,High,High
BK0261,Brooklyn,3,Brooklyn Navy Yard,0.436489593,Low,7.679230497,Low,Low,Low,Low,Low
BK0301,Brooklyn,3,Bedford-Stuyvesant (West),4.099245869,High,72.09534754,High,High,High,High,Medium
BK0302,Brooklyn,3,Bedford-Stuyvesant (East),4.347976408,High,77.74418406,High,High,High,Medium,Medium
BK0401,Brooklyn,3,Bushwick (West),1.663290848,Low,29.72665058,Low,High,High,High,Medium
BK0402,Brooklyn,3,Bushwick (East),2.995766813,Medium,52.64664691,Medium,High,Medium,High,Medium
BK0471,Brooklyn,3,The Evergreens Cemetery,0.125500793,Low,2.141315338,Low,Low,Low,Medium,Low
BK0501,Brooklyn,3,Cypress Hills,2.40741609,Medium,42.03802243,Medium,Medium,Medium,High,Medium
BK0502,Brooklyn,3,East New York (North),2.403124546,Medium,41.87956744,Medium,Medium,Medium,High,Medium
BK0503,Brooklyn,3,East New York-New Lots,6.085814804,High,106.3024831,High,Medium,High,High,Medium
BK0504,Brooklyn,3,Spring Creek-Starrett City,1.675988229,Low,29.45143164,Low,Low,Medium,High,Medium
BK0505,Brooklyn,3,East New York-City Line,3.954509886,High,69.86232302,High,Medium,Medium,Medium,Medium
BK0571,Brooklyn,3,Highland Park-Cypress Hills Cemeteries (South),0.422222074,Low,7.531421692,Low,Low,Low,Low,Low
BK0601,Brooklyn,3,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,10.64083079,High,184.8842287,High,High,High,High,High
BK0602,Brooklyn,3,Park Slope,3.852212292,High,67.24828694,High,High,High,Medium,High
BK0701,Brooklyn,3,Windsor Terrace-South Slope,3.545197614,Medium,61.19663574,Medium,Medium,Medium,Medium,High
BK0702,Brooklyn,3,Sunset Park (West),15.38546597,High,266.3710757,High,High,High,High,High
BK0703,Brooklyn,3,Sunset Park (Central),1.087719451,Low,19.32397985,Low,High,Medium,High,Low
BK0771,Brooklyn,3,Green-Wood Cemetery,0.979436973,Low,17.06894282,Low,Low,Low,Low,Low
BK0801,Brooklyn,3,Prospect Heights,1.962617546,Medium,34.11978755,Medium,High,Medium,Medium,High
BK0802,Brooklyn,3,Crown Heights (North),6.253079248,High,109.3145096,High,High,High,High,High
BK0891,Brooklyn,3,Lincoln Terrace Park,0.142200882,Low,2.473493291,Low,Low,Low,Low,Medium
BK0901,Brooklyn,3,Crown Heights (South),1.770742249,Medium,31.07894958,Low,Medium,High,Medium,Medium
BK0902,Brooklyn,3,Prospect Lefferts Gardens-Wingate,2.642220483,Medium,46.35579632,Medium,High,High,Medium,Medium
BK1001,Brooklyn,3,Bay Ridge,12.11146894,High,211.3142854,High,High,High,Medium,High
BK1002,Brooklyn,3,Dyker Heights,2.863852606,Medium,49.94361239,Medium,Medium,Medium,Medium,Medium
BK1061,Brooklyn,3,Fort Hamilton,3.590068742,High,61.87391657,Medium,Low,Low,Low,High
BK1091,Brooklyn,3,Dyker Beach Park,0.477916537,Low,8.436333619,Low,Low,Low,Low,Low
BK1101,Brooklyn,3,Bensonhurst,3.07733754,Medium,53.9069846,Medium,High,High,High,Low
BK1102,Brooklyn,3,Bath Beach,2.281878412,Medium,39.61333829,Medium,Medium,Low,Medium,High
BK1103,Brooklyn,3,Gravesend (West),2.899390397,Medium,51.94510553,Medium,High,Medium,High,Medium
BK1201,Brooklyn,3,Sunset Park (East)-Borough Park (West),0.901585307,Low,15.77740489,Low,Medium,Medium,Medium,Medium
BK1202,Brooklyn,3,Borough Park,2.532210867,Medium,44.40621512,Medium,High,High,High,Low
BK1203,Brooklyn,3,Kensington,3.279768359,Medium,56.84700039,Medium,Medium,Medium,Medium,High
BK1204,Brooklyn,3,Mapleton-Midwood (West),3.173925599,Medium,55.34651767,Medium,Medium,Medium,High,Medium
BK1301,Brooklyn,3,Gravesend (South),1.619004137,Low,28.45511748,Low,Medium,Medium,Medium,Medium
BK1302,Brooklyn,3,Coney Island-Sea Gate,2.768624417,Medium,49.02029888,Medium,High,High,High,Medium
BK1303,Brooklyn,3,Brighton Beach,0.948835021,Low,16.8507679,Low,High,Medium,Low,Medium
BK1391,Brooklyn,3,Calvert Vaux Park,0.00417011,Low,0.070960304,Low,Low,Low,Low,Low
BK1401,Brooklyn,3,Flatbush,2.934892868,Medium,52.22210959,Medium,High,High,Medium,Medium
BK1402,Brooklyn,3,Flatbush (West)-Ditmas Park-Parkville,2.123829945,Medium,37.23327505,Medium,High,Medium,Medium,Medium
BK1403,Brooklyn,3,Midwood,2.716559597,Medium,48.33008937,Medium,Medium,High,Medium,Medium
BK1501,Brooklyn,3,Gravesend (East)-Homecrest,3.233470866,Medium,56.55463333,Medium,High,Medium,Medium,Medium
BK1502,Brooklyn,3,Madison,2.612047693,Medium,46.34121775,Medium,Medium,Medium,Low,Medium
BK1503,Brooklyn,3,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,4.081194567,High,71.97553161,High,High,High,Medium,Medium
