GEOCODE,Name,VALUE,GEONAME
101,Kingsbridge - Riverdale,0.1,kingsbridge_riverdale
102,Northeast Bronx,0.1,northeast_bronx
103,Fordham - Bronx Pk,0.1,fordham_bronx_pk
104,Pelham - Throgs Neck,0.1,pelham_throgs_neck
105,Crotona -Tremont,0.1,crotona_tremont
106,High Bridge - Morrisania,0.1,high_bridge_morrisania
107,Hunts Point - Mott Haven,0.1,hunts_point_motthaven
201,Greenpoint,0.1,greenpoint
202,Downtown - Heights - Slope,0.1,downtown_heights_slope
203,Bedford Stuyvesant - Crown Heights,0.1,bedford_stuyvesant_crown_heights
204,East New York,0.1,east_new_york
205,Sunset Park,0.1,sunset_park
206,Borough Park,0.1,borough_park
207,East Flatbush - Flatbush,0.1,east_flatbush_flatbush
208,Canarsie - Flatlands,0.1,canarsie_flatlands
209,Bensonhurst - Bay Ridge,0.1,bensonhurst_bay_ridge
210,Coney Island - Sheepshead Bay,0.1,coney_island_sheepshead_bay
211,Williamsburg - Bushwick,0.1,williamsburg_bushwick
301,Washington Heights,0.1,washington_heights
302,Central Harlem - Morningside Heights,0.1,central_harlem_morningside_heights
303,East Harlem,0.1,east_harlem
304,Upper West Side,0.1,upper_west_side
305,Upper East Side,0.1,upper_east_side
306,Chelsea - Clinton,0.1,chelsea_clinton
307,Gramercy Park - Murray Hill,0.1,gramercy_park_murray_hill
308,Greenwich Village - SoHo,0.1,greenwich_village_soho
309,Union Square - Lower East Side,0.1,union_square_lower_east_side
310,Lower Manhattan,0.1,lower_manhattan
401,Long Island City - Astoria,0.1,long_island_city_astoria
402,West Queens,0.1,west_queens
403,Flushing - Clearview,0.1,flushing_clearview
404,Bayside - Little Neck,0.1,bayside_little_neck
405,Ridgewood - Forest Hills,0.1,ridgewood_forest_hills
406,Fresh Meadows,0.1,fresh_meadows
407,Southwest Queens,0.1,southwest_queens
408,Jamaica,0.1,jamaica
409,Southeast Queens,0.1,southeast_queens
410,Rockaways,0.1,rockaways
501,Port Richmond,0.1,port_richmond
502,Stapleton - St. George,0.1,stapleton_st.george
503,Willowbrook,0.1,willowbrook
504,South Beach - Tottenville,0.1,southbeach_tottenville
