geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,4.7,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,5.1,
101,Kingsbridge - Riverdale,NA,Estimate is suppressed due to insufficient data.
101,Kingsbridge - Riverdale,NA,Estimate is suppressed due to insufficient data.
101,Kingsbridge - Riverdale,7.9,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,6.8,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,4.4,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,6.7,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,8,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,7.9,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,3.5,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,6.1,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,NA,Estimate is suppressed due to insufficient data.
102,Northeast Bronx,5.9,
102,Northeast Bronx,5.8,
102,Northeast Bronx,6.5,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,6.8,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,4.1,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,5.7,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,4.9,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,6.3,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,2.3,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,5,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,5,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,3.2,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,4.3,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,4.8,
103,Fordham - Bronx Pk,12,
103,Fordham - Bronx Pk,8.5,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,9.9,
103,Fordham - Bronx Pk,5.5,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,4.4,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,3.2,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1.6,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,7.4,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,7.9,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,7.5,
103,Fordham - Bronx Pk,2.1,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1.6,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,6.1,
104,Pelham - Throgs Neck,6.7,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,3.4,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,6.3,
104,Pelham - Throgs Neck,9,
104,Pelham - Throgs Neck,6.9,
104,Pelham - Throgs Neck,6.3,
104,Pelham - Throgs Neck,6.3,
104,Pelham - Throgs Neck,6.2,
104,Pelham - Throgs Neck,2.1,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,10,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,6.7,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,5,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,10.2,
105,Crotona -Tremont,7.4,
105,Crotona -Tremont,10.7,
105,Crotona -Tremont,8.8,
105,Crotona -Tremont,6.8,
105,Crotona -Tremont,7,
105,Crotona -Tremont,6.3,
105,Crotona -Tremont,12.8,
105,Crotona -Tremont,12.8,
105,Crotona -Tremont,8.8,
105,Crotona -Tremont,9,
105,Crotona -Tremont,6.5,
105,Crotona -Tremont,7.5,
106,High Bridge - Morrisania,6.5,
106,High Bridge - Morrisania,6.3,
106,High Bridge - Morrisania,8.8,
106,High Bridge - Morrisania,4.6,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,9,
106,High Bridge - Morrisania,6.8,
106,High Bridge - Morrisania,7.5,
106,High Bridge - Morrisania,7,
106,High Bridge - Morrisania,8.8,
106,High Bridge - Morrisania,10.2,
106,High Bridge - Morrisania,7.4,
106,High Bridge - Morrisania,10.7,
106,High Bridge - Morrisania,4.6,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,8.8,
107,Hunts Point - Mott Haven,6.3,
107,Hunts Point - Mott Haven,10.2,
107,Hunts Point - Mott Haven,7.4,
107,Hunts Point - Mott Haven,6.5,
107,Hunts Point - Mott Haven,10.7,
107,Hunts Point - Mott Haven,8.8,
