geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,3.2,
101,Kingsbridge - Riverdale,2.2,
102,Northeast Bronx,2,
102,Northeast Bronx,3.2,
103,Fordham - Bronx Pk,3.2,
103,Fordham - Bronx Pk,2.2,
104,Pelham - Throgs Neck,3.2,
104,Pelham - Throgs Neck,2,
105,Crotona -Tremont,3.4,
105,Crotona -Tremont,2.1,
106,High Bridge - Morrisania,2.3,
106,High Bridge - Morrisania,3.6,
107,Hunts Point - Mott Haven,3.5,
107,Hunts Point - Mott Haven,2.1,
201,Greenpoint,2.2,
201,Greenpoint,3.5,
202,Downtown - Heights - Slope,3.2,
202,Downtown - Heights - Slope,2.2,
203,Bedford Stuyvesant - Crown Heights,2,
203,Bedford Stuyvesant - Crown Heights,3,
204,East New York,2.8,
204,East New York,2.1,
205,Sunset Park,2,
205,Sunset Park,3.2,
206,Borough Park,2,
206,Borough Park,2.9,
207,East Flatbush - Flatbush,2.1,
207,East Flatbush - Flatbush,2.8,
208,Canarsie - Flatlands,2.8,
208,Canarsie - Flatlands,1.8,
208,Bensonhurst - Bay Ridge,2.7,
208,Bensonhurst - Bay Ridge,2,
210,Coney Island - Sheepshead Bay,2.1,
210,Coney Island - Sheepshead Bay,2.5,
211,Williamsburg - Bushwick,2.1,
211,Williamsburg - Bushwick,3.1,
301,Washington Heights,3.9,
301,Washington Heights,2.8,
302,Central Harlem - Morningside Heights,2.6,
302,Central Harlem - Morningside Heights,4.2,
303,East Harlem,4.2,
303,East Harlem,2.6,
304,Upper West Side,4,
304,Upper West Side,2.7,
305,Upper East Side,4.5,
305,Upper East Side,2.8,
306,Chelsea - Clinton,4.6,
306,Chelsea - Clinton,2.9,
307,Gramercy Park - Murray Hill,2.8,
307,Gramercy Park - Murray Hill,5.3,
308,Greenwich Village - SoHo,4,
308,Greenwich Village - SoHo,2.6,
309,Union Square - Lower East Side,2.5,
309,Union Square - Lower East Side,4,
310,Lower Manhattan,4.2,
310,Lower Manhattan,2.3,
401,Long Island City - Astoria,2.3,
401,Long Island City - Astoria,3.6,
402,West Queens,3.4,
402,West Queens,2.2,
403,Flushing - Clearview,2.7,
403,Flushing - Clearview,1.9,
404,Bayside - Little Neck,1.9,
404,Bayside - Little Neck,2.5,
405,Ridgewood - Forest Hills,3,
405,Ridgewood - Forest Hills,2.1,
406,Fresh Meadows,2.3,
406,Fresh Meadows,1.8,
407,Southwest Queens,2.4,
407,Southwest Queens,1.9,
408,Jamaica,2.4,
408,Jamaica,1.9,
409,Southeast Queens,1.8,
409,Southeast Queens,2.4,
410,Rockaways,1.4,
410,Rockaways,2,
501,Port Richmond,1.8,
501,Port Richmond,2.4,
502,Stapleton - St. George,2.3,
502,Stapleton - St. George,1.7,
503,Willowbrook,2.3,
503,Willowbrook,1.8,
504,South Beach - Tottenville,2.2,
504,South Beach - Tottenville,1.7,
