geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,96.2,
101,Kingsbridge - Riverdale,132.5,
101,Kingsbridge - Riverdale,226.7,
101,Kingsbridge - Riverdale,216,
101,Kingsbridge - Riverdale,110.2,
101,Kingsbridge - Riverdale,105.1,
101,Kingsbridge - Riverdale,167,
101,Kingsbridge - Riverdale,195.6,
101,Kingsbridge - Riverdale,127.3,
101,Kingsbridge - Riverdale,125.3,
101,Kingsbridge - Riverdale,177.3,
101,Kingsbridge - Riverdale,101.7,
102,Northeast Bronx,192.6,
102,Northeast Bronx,238.4,
102,Northeast Bronx,357.7,
102,Northeast Bronx,229.7,
102,Northeast Bronx,219.2,
102,Northeast Bronx,347,
102,Northeast Bronx,153.9,
102,Northeast Bronx,252.1,
102,Northeast Bronx,151.4,
102,Northeast Bronx,146.5,
102,Northeast Bronx,301.9,
102,Northeast Bronx,287.4,
103,Fordham - Bronx Pk,262.5,
103,Fordham - Bronx Pk,257.9,
103,Fordham - Bronx Pk,417.6,
103,Fordham - Bronx Pk,228.4,
103,Fordham - Bronx Pk,443.6,
103,Fordham - Bronx Pk,228.3,
103,Fordham - Bronx Pk,241.3,
103,Fordham - Bronx Pk,368.8,
103,Fordham - Bronx Pk,461,
103,Fordham - Bronx Pk,463.7,
103,Fordham - Bronx Pk,236.6,
103,Fordham - Bronx Pk,243.8,
104,Pelham - Throgs Neck,241.6,
104,Pelham - Throgs Neck,303.2,
104,Pelham - Throgs Neck,211,
104,Pelham - Throgs Neck,257.8,
104,Pelham - Throgs Neck,237.6,
104,Pelham - Throgs Neck,198.2,
104,Pelham - Throgs Neck,311.6,
104,Pelham - Throgs Neck,321.7,
104,Pelham - Throgs Neck,286.4,
104,Pelham - Throgs Neck,265.5,
104,Pelham - Throgs Neck,304.7,
104,Pelham - Throgs Neck,327.6,
105,Crotona -Tremont,340.4,
105,Crotona -Tremont,426.6,
105,Crotona -Tremont,388.7,
105,Crotona -Tremont,338.3,
105,Crotona -Tremont,370.3,
105,Crotona -Tremont,438.9,
105,Crotona -Tremont,450.6,
105,Crotona -Tremont,356.2,
105,Crotona -Tremont,317.7,
105,Crotona -Tremont,357.8,
105,Crotona -Tremont,414,
105,Crotona -Tremont,443.1,
106,High Bridge - Morrisania,411.3,
106,High Bridge - Morrisania,367.4,
106,High Bridge - Morrisania,398.2,
