geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,1.46,
101,Kingsbridge - Riverdale,1.04,
101,Kingsbridge - Riverdale,0.76,
101,Kingsbridge - Riverdale,0.73,
101,Kingsbridge - Riverdale,1.13,
101,Kingsbridge - Riverdale,1.19,
101,Kingsbridge - Riverdale,0.99,
101,Kingsbridge - Riverdale,0.93,
101,Kingsbridge - Riverdale,1.17,
101,Kingsbridge - Riverdale,1.12,
101,Kingsbridge - Riverdale,1.26,
101,Kingsbridge - Riverdale,1.17,
101,Kingsbridge - Riverdale,1.31,
101,Kingsbridge - Riverdale,1.1,
101,Kingsbridge - Riverdale,0.83,
101,Kingsbridge - Riverdale,0.84,
101,Kingsbridge - Riverdale,0.84,
101,Kingsbridge - Riverdale,1.45,
101,Kingsbridge - Riverdale,1,
101,Kingsbridge - Riverdale,1.02,
101,Kingsbridge - Riverdale,1.25,
101,Kingsbridge - Riverdale,1.23,
101,Kingsbridge - Riverdale,1.14,
101,Kingsbridge - Riverdale,1.02,
101,Kingsbridge - Riverdale,0.95,
101,Kingsbridge - Riverdale,0.96,
101,Kingsbridge - Riverdale,0.81,
101,Kingsbridge - Riverdale,0.98,
101,Kingsbridge - Riverdale,0.81,
101,Kingsbridge - Riverdale,0.79,
102,Northeast Bronx,1.16,
102,Northeast Bronx,1.3,
102,Northeast Bronx,1.17,
102,Northeast Bronx,1.2,
102,Northeast Bronx,1.11,
102,Northeast Bronx,0.98,
102,Northeast Bronx,0.99,
102,Northeast Bronx,0.87,
102,Northeast Bronx,0.85,
102,Northeast Bronx,1.01,
102,Northeast Bronx,0.82,
102,Northeast Bronx,0.91,
102,Northeast Bronx,1.2,
102,Northeast Bronx,1.21,
102,Northeast Bronx,1.26,
102,Northeast Bronx,1,
102,Northeast Bronx,1.02,
102,Northeast Bronx,0.96,
102,Northeast Bronx,0.77,
102,Northeast Bronx,1.07,
102,Northeast Bronx,1.24,
102,Northeast Bronx,0.84,
102,Northeast Bronx,1.44,
102,Northeast Bronx,1.14,
102,Northeast Bronx,1.04,
102,Northeast Bronx,1.2,
102,Northeast Bronx,1.13,
102,Northeast Bronx,1.02,
102,Northeast Bronx,0.87,
102,Northeast Bronx,0.9,
103,Fordham - Bronx Pk,1.46,
103,Fordham - Bronx Pk,1.33,
103,Fordham - Bronx Pk,1.17,
103,Fordham - Bronx Pk,1.06,
103,Fordham - Bronx Pk,0.87,
103,Fordham - Bronx Pk,1.06,
103,Fordham - Bronx Pk,1.11,
103,Fordham - Bronx Pk,0.97,
103,Fordham - Bronx Pk,0.92,
103,Fordham - Bronx Pk,1.49,
103,Fordham - Bronx Pk,1.26,
103,Fordham - Bronx Pk,1.13,
103,Fordham - Bronx Pk,0.9,
103,Fordham - Bronx Pk,1.06,
103,Fordham - Bronx Pk,0.85,
103,Fordham - Bronx Pk,0.79,
103,Fordham - Bronx Pk,1.19,
103,Fordham - Bronx Pk,1.22,
103,Fordham - Bronx Pk,1.2,
103,Fordham - Bronx Pk,1.06,
103,Fordham - Bronx Pk,1.11,
103,Fordham - Bronx Pk,1.45,
103,Fordham - Bronx Pk,1.19,
103,Fordham - Bronx Pk,1.29,
103,Fordham - Bronx Pk,1.26,
103,Fordham - Bronx Pk,1,
103,Fordham - Bronx Pk,1.02,
103,Fordham - Bronx Pk,0.91,
103,Fordham - Bronx Pk,0.89,
103,Fordham - Bronx Pk,0.86,
104,Pelham - Throgs Neck,1.24,
104,Pelham - Throgs Neck,1.22,
104,Pelham - Throgs Neck,1.04,
104,Pelham - Throgs Neck,0.9,
104,Pelham - Throgs Neck,0.88,
104,Pelham - Throgs Neck,0.8,
104,Pelham - Throgs Neck,0.74,
104,Pelham - Throgs Neck,1.39,
104,Pelham - Throgs Neck,1.15,
104,Pelham - Throgs Neck,1.19,
104,Pelham - Throgs Neck,1.19,
104,Pelham - Throgs Neck,1.23,
104,Pelham - Throgs Neck,1.1,
104,Pelham - Throgs Neck,1,
104,Pelham - Throgs Neck,1.14,
104,Pelham - Throgs Neck,1,
104,Pelham - Throgs Neck,0.96,
104,Pelham - Throgs Neck,1.21,
104,Pelham - Throgs Neck,1.06,
104,Pelham - Throgs Neck,1.08,
104,Pelham - Throgs Neck,1.32,
104,Pelham - Throgs Neck,0.9,
104,Pelham - Throgs Neck,0.85,
104,Pelham - Throgs Neck,0.8,
104,Pelham - Throgs Neck,1.43,
104,Pelham - Throgs Neck,1.15,
104,Pelham - Throgs Neck,1.11,
104,Pelham - Throgs Neck,0.98,
104,Pelham - Throgs Neck,0.97,
104,Pelham - Throgs Neck,0.86,
105,Crotona -Tremont,1.26,
105,Crotona -Tremont,1.74,
105,Crotona -Tremont,1.54,
105,Crotona -Tremont,1.47,
105,Crotona -Tremont,1.2,
105,Crotona -Tremont,0.98,
105,Crotona -Tremont,1.4,
105,Crotona -Tremont,1.71,
105,Crotona -Tremont,1.48,
105,Crotona -Tremont,1.32,
105,Crotona -Tremont,1.39,
105,Crotona -Tremont,1.15,
105,Crotona -Tremont,0.95,
105,Crotona -Tremont,1.65,
105,Crotona -Tremont,1.39,
105,Crotona -Tremont,1.31,
105,Crotona -Tremont,1.26,
105,Crotona -Tremont,1.07,
105,Crotona -Tremont,1.14,
105,Crotona -Tremont,0.94,
105,Crotona -Tremont,0.86,
