geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,17.6,
101,Kingsbridge - Riverdale,9.1,
102,Northeast Bronx,1.6,
102,Northeast Bronx,2.2,
103,Fordham - Bronx Pk,24.5,
103,Fordham - Bronx Pk,16.6,
104,Pelham - Throgs Neck,2.8,
104,Pelham - Throgs Neck,4.4,
105,Crotona -Tremont,16.9,
105,Crotona -Tremont,8.8,
106,High Bridge - Morrisania,19.7,
106,High Bridge - Morrisania,12.9,
107,Hunts Point - Mott Haven,1.7,
107,Hunts Point - Mott Haven,3.3,
201,Greenpoint,0.4,
201,Greenpoint,0.3,
202,Downtown - Heights - Slope,0.8,
202,Downtown - Heights - Slope,1.2,
203,Bedford Stuyvesant - Crown Heights,1,
203,Bedford Stuyvesant - Crown Heights,0.9,
204,East New York,0.1,
204,East New York,0.1,
205,Sunset Park,0.1,
205,Sunset Park,0.5,
206,Borough Park,1.1,
206,Borough Park,1.5,
207,East Flatbush - Flatbush,2.3,
207,East Flatbush - Flatbush,1.7,
208,Canarsie - Flatlands,0,
208,Canarsie - Flatlands,0,
208,Bensonhurst - Bay Ridge,1.7,
208,Bensonhurst - Bay Ridge,1.2,
210,Coney Island - Sheepshead Bay,0.7,
210,Coney Island - Sheepshead Bay,0.9,
211,Williamsburg - Bushwick,0.3,
211,Williamsburg - Bushwick,0.3,
301,Washington Heights,32,
301,Washington Heights,51,
302,Central Harlem - Morningside Heights,10.7,
302,Central Harlem - Morningside Heights,15.7,
303,East Harlem,11.6,
303,East Harlem,4.8,
304,Upper West Side,50.9,
304,Upper West Side,99.7,
305,Upper East Side,95,
305,Upper East Side,39.4,
306,Chelsea - Clinton,67.4,
306,Chelsea - Clinton,36.4,
307,Gramercy Park - Murray Hill,41.5,
307,Gramercy Park - Murray Hill,78.8,
308,Greenwich Village - SoHo,32.9,
308,Greenwich Village - SoHo,17.8,
309,Union Square - Lower East Side,14.1,
309,Union Square - Lower East Side,24.9,
310,Lower Manhattan,13.7,
310,Lower Manhattan,8.3,
401,Long Island City - Astoria,6.7,
401,Long Island City - Astoria,5,
402,West Queens,1.1,
402,West Queens,2.3,
403,Flushing - Clearview,5.1,
403,Flushing - Clearview,3,
404,Bayside - Little Neck,1.6,
404,Bayside - Little Neck,0.9,
405,Ridgewood - Forest Hills,2.7,
405,Ridgewood - Forest Hills,1.3,
406,Fresh Meadows,4.3,
406,Fresh Meadows,3.1,
407,Southwest Queens,0.8,
407,Southwest Queens,0.5,
408,Jamaica,0.4,
408,Jamaica,0.5,
409,Southeast Queens,0.3,
409,Southeast Queens,0.3,
410,Rockaways,0,
410,Rockaways,0,
501,Port Richmond,0,
501,Port Richmond,0,
502,Stapleton - St. George,0.2,
502,Stapleton - St. George,0.4,
503,Willowbrook,0,
503,Willowbrook,0,
504,South Beach - Tottenville,0,
504,South Beach - Tottenville,0,
