geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,9.8,
101,Kingsbridge - Riverdale,9,
101,Kingsbridge - Riverdale,9,
101,Kingsbridge - Riverdale,6.9,
101,Kingsbridge - Riverdale,18.1,
101,Kingsbridge - Riverdale,71.9,
101,Kingsbridge - Riverdale,60.8,
101,Kingsbridge - Riverdale,6.3,
101,Kingsbridge - Riverdale,21.4,
101,Kingsbridge - Riverdale,76.6,
101,Kingsbridge - Riverdale,25.5,
101,Kingsbridge - Riverdale,9.5,
101,Kingsbridge - Riverdale,10.2,
101,Kingsbridge - Riverdale,45.7,
102,Northeast Bronx,14.3,
102,Northeast Bronx,26.4,
102,Northeast Bronx,19.7,
102,Northeast Bronx,34.7,
102,Northeast Bronx,18.6,
102,Northeast Bronx,12.4,
102,Northeast Bronx,18.6,
102,Northeast Bronx,121.6,
102,Northeast Bronx,103.5,
102,Northeast Bronx,89.5,
102,Northeast Bronx,57.3,
102,Northeast Bronx,36.5,
102,Northeast Bronx,16.2,
102,Northeast Bronx,12.1,
103,Fordham - Bronx Pk,32.5,
103,Fordham - Bronx Pk,130.5,
103,Fordham - Bronx Pk,69.5,
103,Fordham - Bronx Pk,46.5,
103,Fordham - Bronx Pk,45.1,
103,Fordham - Bronx Pk,22.2,
103,Fordham - Bronx Pk,109.7,
103,Fordham - Bronx Pk,97,
103,Fordham - Bronx Pk,17.5,
103,Fordham - Bronx Pk,16.2,
103,Fordham - Bronx Pk,13.4,
103,Fordham - Bronx Pk,27,
103,Fordham - Bronx Pk,24.2,
103,Fordham - Bronx Pk,17.4,
104,Pelham - Throgs Neck,17.8,
104,Pelham - Throgs Neck,108.2,
104,Pelham - Throgs Neck,10.9,
104,Pelham - Throgs Neck,27.6,
104,Pelham - Throgs Neck,17.2,
104,Pelham - Throgs Neck,32.8,
104,Pelham - Throgs Neck,54.9,
104,Pelham - Throgs Neck,16.9,
104,Pelham - Throgs Neck,11.9,
104,Pelham - Throgs Neck,16.1,
104,Pelham - Throgs Neck,113.2,
104,Pelham - Throgs Neck,84.6,
104,Pelham - Throgs Neck,37.4,
104,Pelham - Throgs Neck,18.5,
105,Crotona -Tremont,17.5,
105,Crotona -Tremont,28.4,
105,Crotona -Tremont,90.5,
105,Crotona -Tremont,61.4,
105,Crotona -Tremont,15.1,
105,Crotona -Tremont,13.4,
105,Crotona -Tremont,22.8,
105,Crotona -Tremont,111.9,
105,Crotona -Tremont,135.5,
105,Crotona -Tremont,36.5,
105,Crotona -Tremont,19,
105,Crotona -Tremont,40.3,
105,Crotona -Tremont,14.5,
105,Crotona -Tremont,11,
106,High Bridge - Morrisania,42,
106,High Bridge - Morrisania,119,
106,High Bridge - Morrisania,95.3,
106,High Bridge - Morrisania,15.1,
106,High Bridge - Morrisania,30.4,
106,High Bridge - Morrisania,138.6,
106,High Bridge - Morrisania,40.6,
106,High Bridge - Morrisania,19.3,
106,High Bridge - Morrisania,22.8,
106,High Bridge - Morrisania,23.8,
106,High Bridge - Morrisania,11.3,
106,High Bridge - Morrisania,10.8,
106,High Bridge - Morrisania,64.8,
106,High Bridge - Morrisania,15.5,
107,Hunts Point - Mott Haven,19,
107,Hunts Point - Mott Haven,26.6,
107,Hunts Point - Mott Haven,58.5,
107,Hunts Point - Mott Haven,11.7,
107,Hunts Point - Mott Haven,18,
107,Hunts Point - Mott Haven,20.1,
107,Hunts Point - Mott Haven,12.1,
107,Hunts Point - Mott Haven,9.4,
107,Hunts Point - Mott Haven,35,
107,Hunts Point - Mott Haven,105,
107,Hunts Point - Mott Haven,86.4,
107,Hunts Point - Mott Haven,144.5,
107,Hunts Point - Mott Haven,33.9,
107,Hunts Point - Mott Haven,13.2,
201,Greenpoint,73.6,
201,Greenpoint,138.2,
201,Greenpoint,104.9,
201,Greenpoint,171.1,
201,Greenpoint,182.8,
201,Greenpoint,121.1,
201,Greenpoint,51.9,
201,Greenpoint,45.4,
201,Greenpoint,80.9,
201,Greenpoint,56.1,
201,Greenpoint,101.5,
201,Greenpoint,169.3,
201,Greenpoint,51,
201,Greenpoint,40.7,
202,Downtown - Heights - Slope,43.5,
202,Downtown - Heights - Slope,105.1,
202,Downtown - Heights - Slope,67.3,
202,Downtown - Heights - Slope,17.2,
202,Downtown - Heights - Slope,18,
202,Downtown - Heights - Slope,19.5,
202,Downtown - Heights - Slope,37.5,
202,Downtown - Heights - Slope,21.9,
202,Downtown - Heights - Slope,117.2,
