geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,5.93,
101,Kingsbridge - Riverdale,6.78,
101,Kingsbridge - Riverdale,6.7,
101,Kingsbridge - Riverdale,6.22,
101,Kingsbridge - Riverdale,6.84,
102,Northeast Bronx,7.81,
102,Northeast Bronx,6.48,
102,Northeast Bronx,6.34,
102,Northeast Bronx,7.68,
102,Northeast Bronx,7.25,
103,Fordham - Bronx Pk,14.83,
103,Fordham - Bronx Pk,15.7,
103,Fordham - Bronx Pk,16.84,
103,Fordham - Bronx Pk,15.23,
103,Fordham - Bronx Pk,16.18,
104,Pelham - Throgs Neck,9.19,
104,Pelham - Throgs Neck,9.18,
104,Pelham - Throgs Neck,9.36,
104,Pelham - Throgs Neck,8.64,
104,Pelham - Throgs Neck,8.82,
105,Crotona -Tremont,14.89,
105,Crotona -Tremont,15.22,
105,Crotona -Tremont,15.54,
105,Crotona -Tremont,15.34,
105,Crotona -Tremont,15.31,
106,High Bridge - Morrisania,15.93,
106,High Bridge - Morrisania,15.5,
106,High Bridge - Morrisania,15.38,
106,High Bridge - Morrisania,15.93,
106,High Bridge - Morrisania,16.18,
107,Hunts Point - Mott Haven,12.71,
107,Hunts Point - Mott Haven,12.76,
107,Hunts Point - Mott Haven,12.48,
107,Hunts Point - Mott Haven,12.48,
107,Hunts Point - Mott Haven,12.52,
201,Greenpoint,10.71,
201,Greenpoint,8.58,
201,Greenpoint,8.48,
201,Greenpoint,8.23,
201,Greenpoint,8.42,
202,Downtown - Heights - Slope,5.99,
202,Downtown - Heights - Slope,4.96,
202,Downtown - Heights - Slope,5.56,
202,Downtown - Heights - Slope,5.17,
202,Downtown - Heights - Slope,6.08,
203,Bedford Stuyvesant - Crown Heights,7.36,
203,Bedford Stuyvesant - Crown Heights,7.16,
203,Bedford Stuyvesant - Crown Heights,6.59,
203,Bedford Stuyvesant - Crown Heights,6.73,
203,Bedford Stuyvesant - Crown Heights,6.98,
204,East New York,13.85,
204,East New York,14.77,
204,East New York,14.9,
204,East New York,14.6,
204,East New York,13.77,
205,Sunset Park,22.14,
205,Sunset Park,22.84,
205,Sunset Park,22.12,
205,Sunset Park,22.64,
205,Sunset Park,22.31,
206,Borough Park,16.25,
206,Borough Park,17.01,
206,Borough Park,16.61,
206,Borough Park,17.11,
206,Borough Park,17.16,
207,East Flatbush - Flatbush,11.03,
207,East Flatbush - Flatbush,10.54,
207,East Flatbush - Flatbush,10.78,
207,East Flatbush - Flatbush,10.13,
207,East Flatbush - Flatbush,10.62,
208,Canarsie - Flatlands,6.44,
208,Canarsie - Flatlands,8.73,
208,Canarsie - Flatlands,8.7,
208,Canarsie - Flatlands,8.74,
208,Canarsie - Flatlands,8.16,
208,Bensonhurst - Bay Ridge,9.73,
208,Bensonhurst - Bay Ridge,10.45,
208,Bensonhurst - Bay Ridge,10.31,
208,Bensonhurst - Bay Ridge,10.5,
208,Bensonhurst - Bay Ridge,8.02,
210,Coney Island - Sheepshead Bay,7.74,
210,Coney Island - Sheepshead Bay,9.36,
210,Coney Island - Sheepshead Bay,9.87,
210,Coney Island - Sheepshead Bay,7.01,
210,Coney Island - Sheepshead Bay,8.64,
211,Williamsburg - Bushwick,12.42,
211,Williamsburg - Bushwick,13.95,
211,Williamsburg - Bushwick,13.36,
211,Williamsburg - Bushwick,12.88,
211,Williamsburg - Bushwick,10.92,
301,Washington Heights,11.92,
301,Washington Heights,11.95,
301,Washington Heights,12.32,
301,Washington Heights,11.88,
301,Washington Heights,12.57,
302,Central Harlem - Morningside Heights,6.12,
302,Central Harlem - Morningside Heights,5.92,
302,Central Harlem - Morningside Heights,6.1,
302,Central Harlem - Morningside Heights,5.85,
302,Central Harlem - Morningside Heights,5.94,
303,East Harlem,7.62,
303,East Harlem,9.54,
303,East Harlem,8.77,
303,East Harlem,8.62,
303,East Harlem,7.85,
304,Upper West Side,3.21,
304,Upper West Side,3.28,
304,Upper West Side,2.88,
304,Upper West Side,3.3,
304,Upper West Side,3.03,
305,Upper East Side,3.15,
305,Upper East Side,3.02,
305,Upper East Side,3.92,
305,Upper East Side,3.19,
305,Upper East Side,3.1,
306,Chelsea - Clinton,3.88,
306,Chelsea - Clinton,3.66,
306,Chelsea - Clinton,4.14,
306,Chelsea - Clinton,3.57,
306,Chelsea - Clinton,3.87,
307,Gramercy Park - Murray Hill,2.91,
307,Gramercy Park - Murray Hill,3.97,
307,Gramercy Park - Murray Hill,3.04,
307,Gramercy Park - Murray Hill,3.59,
307,Gramercy Park - Murray Hill,3.06,
308,Greenwich Village - SoHo,4.47,
308,Greenwich Village - SoHo,5.02,
308,Greenwich Village - SoHo,5.03,
308,Greenwich Village - SoHo,4.99,
308,Greenwich Village - SoHo,5.86,
309,Union Square - Lower East Side,5.94,
309,Union Square - Lower East Side,5.31,
309,Union Square - Lower East Side,5.64,
309,Union Square - Lower East Side,5.61,
309,Union Square - Lower East Side,5.67,
310,Lower Manhattan,5.88,
310,Lower Manhattan,7.93,
310,Lower Manhattan,6.24,
310,Lower Manhattan,7.56,
310,Lower Manhattan,6.13,
401,Long Island City - Astoria,7.59,
401,Long Island City - Astoria,7.28,
401,Long Island City - Astoria,7.06,
401,Long Island City - Astoria,7.55,
401,Long Island City - Astoria,7.1,
402,West Queens,16.95,
402,West Queens,16.79,
402,West Queens,17.13,
402,West Queens,17.11,
402,West Queens,17.22,
403,Flushing - Clearview,8.65,
403,Flushing - Clearview,9.12,
403,Flushing - Clearview,9.21,
403,Flushing - Clearview,8.7,
403,Flushing - Clearview,9.23,
404,Bayside - Little Neck,3.14,
404,Bayside - Little Neck,3.38,
404,Bayside - Little Neck,3.66,
404,Bayside - Little Neck,3.01,
404,Bayside - Little Neck,3.07,
405,Ridgewood - Forest Hills,6.08,
405,Ridgewood - Forest Hills,5.23,
405,Ridgewood - Forest Hills,6.34,
405,Ridgewood - Forest Hills,5.83,
405,Ridgewood - Forest Hills,5.24,
406,Fresh Meadows,9.05,
406,Fresh Meadows,8.16,
406,Fresh Meadows,8.27,
406,Fresh Meadows,8.35,
406,Fresh Meadows,8.75,
407,Southwest Queens,8.61,
407,Southwest Queens,8.61,
407,Southwest Queens,8.78,
407,Southwest Queens,9.02,
407,Southwest Queens,8.79,
408,Jamaica,9.63,
408,Jamaica,10.54,
408,Jamaica,10.18,
408,Jamaica,10.39,
408,Jamaica,10.71,
409,Southeast Queens,3.96,
409,Southeast Queens,3.9,
409,Southeast Queens,3.74,
409,Southeast Queens,3.83,
409,Southeast Queens,3.89,
410,Rockaways,8.13,
410,Rockaways,7.57,
410,Rockaways,7.38,
410,Rockaways,7.93,
410,Rockaways,7.86,
501,Port Richmond,6.28,
501,Port Richmond,5.64,
501,Port Richmond,6.23,
501,Port Richmond,6.45,
501,Port Richmond,6.51,
502,Stapleton - St. George,5.88,
502,Stapleton - St. George,6.25,
502,Stapleton - St. George,6.17,
502,Stapleton - St. George,5.89,
502,Stapleton - St. George,6.15,
503,Willowbrook,2.32,
503,Willowbrook,4.62,
503,Willowbrook,2.77,
503,Willowbrook,2.45,
503,Willowbrook,3.6,
504,South Beach - Tottenville,1.86,
504,South Beach - Tottenville,1.87,
504,South Beach - Tottenville,1.44,
504,South Beach - Tottenville,1.78,
504,South Beach - Tottenville,2.06,
