geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,6.5,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,0,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,0,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,2.5,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,5,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,3.4,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,5,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,0,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,1.3,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,4.9,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,0,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,7.6,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,2.5,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,0,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,3.5,Estimate is based on small numbers so should be interpreted with caution.
101,Kingsbridge - Riverdale,3.2,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,4.1,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,4.6,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,1.1,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,2.3,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,4.2,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,4.2,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,3.6,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,2.8,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,2.3,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,0,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,2.4,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,0.6,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,6,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,1.8,Estimate is based on small numbers so should be interpreted with caution.
102,Northeast Bronx,10.5,
102,Northeast Bronx,1.8,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,0.3,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1.6,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1.6,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1.9,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1.4,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1.5,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,3.3,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,2.7,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,3.8,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,4.3,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,3.4,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1.4,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,3.7,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,1.3,Estimate is based on small numbers so should be interpreted with caution.
103,Fordham - Bronx Pk,0.6,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,4,
104,Pelham - Throgs Neck,1,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,6.2,
104,Pelham - Throgs Neck,2,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,0,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,1.7,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,1.3,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,1,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,7.7,
104,Pelham - Throgs Neck,2.7,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,3.7,
104,Pelham - Throgs Neck,2,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,2.3,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,5.2,
104,Pelham - Throgs Neck,1,Estimate is based on small numbers so should be interpreted with caution.
104,Pelham - Throgs Neck,0.3,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,5,
105,Crotona -Tremont,1.5,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,3.9,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,0.3,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,2.1,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,3.2,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,2.2,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,0.4,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,1.1,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,0.8,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,0.3,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,0.5,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,5,
105,Crotona -Tremont,2.3,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,0.8,Estimate is based on small numbers so should be interpreted with caution.
105,Crotona -Tremont,4.7,
106,High Bridge - Morrisania,0.8,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,0,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,3.5,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,2.4,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,0.4,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,7.7,
106,High Bridge - Morrisania,0.4,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,2.9,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,4.8,
106,High Bridge - Morrisania,4.4,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,4.7,
106,High Bridge - Morrisania,1.2,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,0.4,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,2.3,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,0.4,Estimate is based on small numbers so should be interpreted with caution.
106,High Bridge - Morrisania,4.8,
107,Hunts Point - Mott Haven,1.2,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,3.1,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,3.1,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,4.8,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,1.8,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,5.6,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,0.6,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,5.8,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,1.2,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,0.9,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,0.6,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,1.2,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,1.8,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,1.8,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,0,Estimate is based on small numbers so should be interpreted with caution.
107,Hunts Point - Mott Haven,4.4,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,1.4,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0.7,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,3.2,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,1.3,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,1.4,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0.7,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0.7,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,1.4,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,5.3,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0.7,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0,Estimate is based on small numbers so should be interpreted with caution.
201,Greenpoint,0,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,1.6,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,1.9,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,3.4,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,0.5,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,1.4,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,0.2,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,1.8,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,0.5,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,0,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,2.6,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,2.1,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,0,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,2.1,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,0,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,0.9,Estimate is based on small numbers so should be interpreted with caution.
202,Downtown - Heights - Slope,3.5,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,1.5,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,5.8,
203,Bedford Stuyvesant - Crown Heights,1.3,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,3.8,
203,Bedford Stuyvesant - Crown Heights,0.6,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,2.6,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,3.3,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,1.6,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,1.6,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,1.6,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,3.3,Estimate is based on small numbers so should be interpreted with caution.
203,Bedford Stuyvesant - Crown Heights,3.9,
203,Bedford Stuyvesant - Crown Heights,0.5,Estimate is based on small numbers so should be interpreted with caution.
