geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,80.6,
101,Kingsbridge - Riverdale,78.8,
101,Kingsbridge - Riverdale,79.2,
101,Kingsbridge - Riverdale,73.6,
102,Northeast Bronx,71.1,
102,Northeast Bronx,78.6,
102,Northeast Bronx,77.9,
102,Northeast Bronx,73.1,
103,Fordham - Bronx Pk,57.7,
103,Fordham - Bronx Pk,64.4,
103,Fordham - Bronx Pk,54.1,
103,Fordham - Bronx Pk,62.6,
104,Pelham - Throgs Neck,71.4,
104,Pelham - Throgs Neck,79.6,
104,Pelham - Throgs Neck,75.6,
104,Pelham - Throgs Neck,78.1,
105,Crotona -Tremont,47.9,
105,Crotona -Tremont,52.5,
105,Crotona -Tremont,39.1,
105,Crotona -Tremont,49.6,
106,High Bridge - Morrisania,36.9,
106,High Bridge - Morrisania,45.4,
106,High Bridge - Morrisania,49,
106,High Bridge - Morrisania,54.1,
107,Hunts Point - Mott Haven,44.2,
107,Hunts Point - Mott Haven,52.5,
107,Hunts Point - Mott Haven,44.4,
107,Hunts Point - Mott Haven,45.8,
201,Greenpoint,76.7,
201,Greenpoint,86.7,
201,Greenpoint,73.8,
201,Greenpoint,86,
202,Downtown - Heights - Slope,79.6,
202,Downtown - Heights - Slope,84,
202,Downtown - Heights - Slope,87.2,
202,Downtown - Heights - Slope,86.9,
203,Bedford Stuyvesant - Crown Heights,59.1,
203,Bedford Stuyvesant - Crown Heights,56.9,
203,Bedford Stuyvesant - Crown Heights,71.4,
203,Bedford Stuyvesant - Crown Heights,58,
204,East New York,67.6,
204,East New York,57,
204,East New York,66.6,
204,East New York,66.3,
205,Sunset Park,82.5,
205,Sunset Park,81.5,
205,Sunset Park,74.3,
205,Sunset Park,86.2,
206,Borough Park,80.9,
206,Borough Park,80.4,
206,Borough Park,87.3,
206,Borough Park,78.6,
207,East Flatbush - Flatbush,75.7,
207,East Flatbush - Flatbush,66.2,
207,East Flatbush - Flatbush,61.6,
207,East Flatbush - Flatbush,70.3,
208,Canarsie - Flatlands,81,
208,Canarsie - Flatlands,87.1,
208,Canarsie - Flatlands,78.1,
208,Canarsie - Flatlands,77.7,
208,Bensonhurst - Bay Ridge,90,
208,Bensonhurst - Bay Ridge,89.2,
208,Bensonhurst - Bay Ridge,88.1,
208,Bensonhurst - Bay Ridge,90.5,
210,Coney Island - Sheepshead Bay,86.5,
210,Coney Island - Sheepshead Bay,85.1,
210,Coney Island - Sheepshead Bay,84.9,
210,Coney Island - Sheepshead Bay,88.2,
211,Williamsburg - Bushwick,61.6,
211,Williamsburg - Bushwick,64.8,
211,Williamsburg - Bushwick,73.1,
211,Williamsburg - Bushwick,55,
301,Washington Heights,62.6,
301,Washington Heights,77.2,
301,Washington Heights,58,
301,Washington Heights,59.8,
302,Central Harlem - Morningside Heights,58.2,
302,Central Harlem - Morningside Heights,63.6,
302,Central Harlem - Morningside Heights,71.6,
302,Central Harlem - Morningside Heights,53.4,
303,East Harlem,60.5,
303,East Harlem,61.1,
303,East Harlem,54.2,
303,East Harlem,57.4,
304,Upper West Side,88.3,
304,Upper West Side,90.7,
304,Upper West Side,92.1,
304,Upper West Side,90.3,
305,Upper East Side,95,
305,Upper East Side,95,
305,Upper East Side,95.2,
305,Upper East Side,94.3,
306,Chelsea - Clinton,84,
306,Chelsea - Clinton,88.2,
306,Chelsea - Clinton,92.3,
306,Chelsea - Clinton,86.6,
307,Gramercy Park - Murray Hill,93.4,
307,Gramercy Park - Murray Hill,91.4,
307,Gramercy Park - Murray Hill,93.6,
307,Gramercy Park - Murray Hill,95.2,
308,Greenwich Village - SoHo,90.1,
308,Greenwich Village - SoHo,93.8,
308,Greenwich Village - SoHo,88.9,
308,Greenwich Village - SoHo,86.3,
309,Union Square - Lower East Side,80.2,
309,Union Square - Lower East Side,75.9,
309,Union Square - Lower East Side,64.5,
309,Union Square - Lower East Side,70.8,
310,Lower Manhattan,87.4,
310,Lower Manhattan,92.8,
310,Lower Manhattan,88,
310,Lower Manhattan,83.9,
401,Long Island City - Astoria,86.1,
401,Long Island City - Astoria,85.2,
401,Long Island City - Astoria,82.5,
401,Long Island City - Astoria,84.5,
402,West Queens,78.1,
402,West Queens,77.3,
402,West Queens,72.6,
402,West Queens,85.2,
403,Flushing - Clearview,88,
403,Flushing - Clearview,86.6,Estimate is based on small numbers so should be interpreted with caution.
403,Flushing - Clearview,87.9,
403,Flushing - Clearview,85.2,
404,Bayside - Little Neck,95.3,
404,Bayside - Little Neck,98,Estimate is based on small numbers so should be interpreted with caution.
404,Bayside - Little Neck,92.7,
404,Bayside - Little Neck,90.9,
405,Ridgewood - Forest Hills,88.7,
405,Ridgewood - Forest Hills,94,
405,Ridgewood - Forest Hills,89.3,
405,Ridgewood - Forest Hills,87.7,
406,Fresh Meadows,86.9,
406,Fresh Meadows,88.6,
406,Fresh Meadows,87.3,
406,Fresh Meadows,87.9,Estimate is based on small numbers so should be interpreted with caution.
407,Southwest Queens,85.4,
407,Southwest Queens,82.6,
407,Southwest Queens,82.2,
407,Southwest Queens,87.5,
408,Jamaica,77.7,
408,Jamaica,77.2,
408,Jamaica,72.3,
408,Jamaica,80.3,
409,Southeast Queens,92.7,
409,Southeast Queens,88.1,
409,Southeast Queens,87.3,Estimate is based on small numbers so should be interpreted with caution.
409,Southeast Queens,89.8,
410,Rockaways,77.5,
410,Rockaways,75.3,
410,Rockaways,72.7,
410,Rockaways,73.8,
501,Port Richmond,79.1,
501,Port Richmond,79.5,
501,Port Richmond,82.2,
501,Port Richmond,80.7,
502,Stapleton - St. George,85.2,
502,Stapleton - St. George,85.2,
502,Stapleton - St. George,85.4,
502,Stapleton - St. George,85.4,
503,Willowbrook,91.6,
503,Willowbrook,90,
503,Willowbrook,88.3,
503,Willowbrook,90.7,
504,South Beach - Tottenville,95.9,
504,South Beach - Tottenville,97.3,
504,South Beach - Tottenville,96.9,
504,South Beach - Tottenville,96.6,
