geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,9.99,
203,Bedford Stuyvesant - Crown Heights,12.12,
209,Bensonhurst - Bay Ridge,9.17,
206,Borough Park,9.76,
208,Canarsie - Flatlands,10.24,
302,Central Harlem - Morningside Heights,12,
306,Chelsea - Clinton,15.11,
210,Coney Island - Sheepshead Bay,8.79,
105,Crotona -Tremont,11.8,
202,Downtown - Heights - Slope,14.58,
207,East Flatbush - Flatbush,10.36,
303,East Harlem,12.17,
204,East New York,12.03,
403,Flushing - Clearview,11.26,
103,Fordham - Bronx Pk,10.11,
406,Fresh Meadows,10.21,
307,Gramercy Park - Murray Hill,14.45,
201,Greenpoint,21.97,
308,Greenwich Village - SoHo,14.63,
106,High Bridge - Morrisania,12.04,
107,Hunts Point - Mott Haven,15.44,
408,Jamaica,10.87,
101,Kingsbridge - Riverdale,9.3,
401,Long Island City - Astoria,16.82,
310,Lower Manhattan,14.03,
102,Northeast Bronx,9.64,
104,Pelham - Throgs Neck,10.48,
501,Port Richmond,9.28,
405,Ridgewood - Forest Hills,11.55,
410,Rockaways,8.52,
504,South Beach - Tottenville,7.26,
409,Southeast Queens,10.1,
407,Southwest Queens,10.29,
502,Stapleton - St. George,8.48,
205,Sunset Park,14.53,
309,Union Square - Lower East Side,13.57,
305,Upper East Side,14.13,
304,Upper West Side,12.64,
301,Washington Heights,11.87,
402,West Queens,15.38,
211,Williamsburg - Bushwick,17.84,
503,Willowbrook,7.82,
