geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,68.3,
101,Kingsbridge - Riverdale,102.7,
101,Kingsbridge - Riverdale,79.5,
101,Kingsbridge - Riverdale,66.2,
102,Northeast Bronx,114.5,
102,Northeast Bronx,79.3,
102,Northeast Bronx,143,
102,Northeast Bronx,184.4,
103,Fordham - Bronx Pk,125,
103,Fordham - Bronx Pk,232.6,
103,Fordham - Bronx Pk,115.8,
103,Fordham - Bronx Pk,187.8,
104,Pelham - Throgs Neck,114.6,
104,Pelham - Throgs Neck,164.3,
104,Pelham - Throgs Neck,131.3,
104,Pelham - Throgs Neck,116,
105,Crotona -Tremont,159.6,
105,Crotona -Tremont,199.6,
105,Crotona -Tremont,183.9,
105,Crotona -Tremont,234.9,
106,High Bridge - Morrisania,248.9,
106,High Bridge - Morrisania,171.2,
106,High Bridge - Morrisania,202,
106,High Bridge - Morrisania,220.8,
107,Hunts Point - Mott Haven,237.6,
107,Hunts Point - Mott Haven,206.3,
107,Hunts Point - Mott Haven,225,
107,Hunts Point - Mott Haven,169.4,
201,Greenpoint,58.6,
201,Greenpoint,36.5,
201,Greenpoint,42.7,
201,Greenpoint,50.5,
202,Downtown - Heights - Slope,62.6,
202,Downtown - Heights - Slope,77.1,
202,Downtown - Heights - Slope,95.3,
202,Downtown - Heights - Slope,87.6,
203,Bedford Stuyvesant - Crown Heights,155.7,
203,Bedford Stuyvesant - Crown Heights,213.9,
203,Bedford Stuyvesant - Crown Heights,191.4,
203,Bedford Stuyvesant - Crown Heights,173.9,
204,East New York,136.8,
204,East New York,164,
204,East New York,163.6,
204,East New York,182.4,
205,Sunset Park,49.9,
205,Sunset Park,59.5,
205,Sunset Park,37.7,
205,Sunset Park,47.4,
206,Borough Park,22.7,
206,Borough Park,24,
206,Borough Park,22.5,
206,Borough Park,12.4,
207,East Flatbush - Flatbush,129.2,
207,East Flatbush - Flatbush,137.4,
207,East Flatbush - Flatbush,119.3,
207,East Flatbush - Flatbush,93.5,
208,Canarsie - Flatlands,79.4,
208,Canarsie - Flatlands,97.7,
208,Canarsie - Flatlands,98.8,
208,Canarsie - Flatlands,88.9,
208,Bensonhurst - Bay Ridge,16.9,
208,Bensonhurst - Bay Ridge,24.2,
208,Bensonhurst - Bay Ridge,24.9,
208,Bensonhurst - Bay Ridge,25.9,
210,Coney Island - Sheepshead Bay,42.4,
210,Coney Island - Sheepshead Bay,46.2,
210,Coney Island - Sheepshead Bay,33.4,
210,Coney Island - Sheepshead Bay,42.3,
211,Williamsburg - Bushwick,196.9,
211,Williamsburg - Bushwick,145.3,
211,Williamsburg - Bushwick,138.7,
211,Williamsburg - Bushwick,185.8,
301,Washington Heights,126.2,
301,Washington Heights,110.4,
301,Washington Heights,130.2,
301,Washington Heights,99.8,
302,Central Harlem - Morningside Heights,228.6,
302,Central Harlem - Morningside Heights,292.5,
302,Central Harlem - Morningside Heights,277.7,
302,Central Harlem - Morningside Heights,269.9,
303,East Harlem,276,
303,East Harlem,262.3,
303,East Harlem,261.6,
303,East Harlem,224.8,
304,Upper West Side,69.6,
304,Upper West Side,60.6,
304,Upper West Side,80.5,
304,Upper West Side,69.8,
305,Upper East Side,35.4,
305,Upper East Side,24.6,
305,Upper East Side,26.2,
305,Upper East Side,30,
306,Chelsea - Clinton,97.8,
306,Chelsea - Clinton,91.6,
306,Chelsea - Clinton,67.9,
306,Chelsea - Clinton,75.7,
307,Gramercy Park - Murray Hill,70,
307,Gramercy Park - Murray Hill,48.8,
307,Gramercy Park - Murray Hill,56.6,
307,Gramercy Park - Murray Hill,42.4,
308,Greenwich Village - SoHo,24.2,
308,Greenwich Village - SoHo,18.5,
308,Greenwich Village - SoHo,18,
308,Greenwich Village - SoHo,19.9,
309,Union Square - Lower East Side,85.8,
309,Union Square - Lower East Side,124.9,
309,Union Square - Lower East Side,144,
309,Union Square - Lower East Side,127,
310,Lower Manhattan,47.4,
310,Lower Manhattan,57.2,
310,Lower Manhattan,55.3,
310,Lower Manhattan,56.8,
401,Long Island City - Astoria,59.9,
401,Long Island City - Astoria,47.4,
401,Long Island City - Astoria,75,
401,Long Island City - Astoria,58.8,
402,West Queens,80.7,
402,West Queens,72.4,
402,West Queens,62,
402,West Queens,61.5,
403,Flushing - Clearview,40,
403,Flushing - Clearview,39.7,
403,Flushing - Clearview,38.8,
403,Flushing - Clearview,39.2,
404,Bayside - Little Neck,19,
404,Bayside - Little Neck,27.5,
404,Bayside - Little Neck,19.5,
404,Bayside - Little Neck,23.4,
405,Ridgewood - Forest Hills,40.4,
405,Ridgewood - Forest Hills,57.6,
405,Ridgewood - Forest Hills,56.3,
405,Ridgewood - Forest Hills,43.3,
406,Fresh Meadows,49.7,
406,Fresh Meadows,60.9,
406,Fresh Meadows,57.7,
406,Fresh Meadows,54.8,
407,Southwest Queens,89,
407,Southwest Queens,61.2,
407,Southwest Queens,63.5,
407,Southwest Queens,83.7,
408,Jamaica,144.7,
408,Jamaica,133.6,
408,Jamaica,103.9,
408,Jamaica,105.7,
409,Southeast Queens,72.9,
409,Southeast Queens,60.1,
409,Southeast Queens,90.2,
409,Southeast Queens,83.8,
410,Rockaways,84.8,
410,Rockaways,137.4,
410,Rockaways,91,
410,Rockaways,135.2,
501,Port Richmond,118.8,
501,Port Richmond,109.6,
501,Port Richmond,107.9,
501,Port Richmond,92.9,
502,Stapleton - St. George,73.2,
502,Stapleton - St. George,101.7,
502,Stapleton - St. George,94.8,
502,Stapleton - St. George,78.7,
503,Willowbrook,47.3,
503,Willowbrook,35.5,
503,Willowbrook,30.4,
503,Willowbrook,28,
504,South Beach - Tottenville,23.6,
504,South Beach - Tottenville,19.3,
504,South Beach - Tottenville,29.8,
504,South Beach - Tottenville,29,
101,Kingsbridge - Riverdale,68.3,
101,Kingsbridge - Riverdale,102.7,
101,Kingsbridge - Riverdale,79.5,
101,Kingsbridge - Riverdale,66.2,
102,Northeast Bronx,114.5,
102,Northeast Bronx,79.3,
102,Northeast Bronx,143,
102,Northeast Bronx,184.4,
103,Fordham - Bronx Pk,125,
103,Fordham - Bronx Pk,232.6,
103,Fordham - Bronx Pk,115.8,
103,Fordham - Bronx Pk,187.8,
104,Pelham - Throgs Neck,114.6,
104,Pelham - Throgs Neck,164.3,
104,Pelham - Throgs Neck,131.3,
104,Pelham - Throgs Neck,116,
105,Crotona -Tremont,159.6,
105,Crotona -Tremont,199.6,
105,Crotona -Tremont,183.9,
105,Crotona -Tremont,234.9,
106,High Bridge - Morrisania,248.9,
106,High Bridge - Morrisania,171.2,
106,High Bridge - Morrisania,202,
106,High Bridge - Morrisania,220.8,
107,Hunts Point - Mott Haven,237.6,
107,Hunts Point - Mott Haven,206.3,
107,Hunts Point - Mott Haven,225,
107,Hunts Point - Mott Haven,169.4,
201,Greenpoint,58.6,
201,Greenpoint,36.5,
201,Greenpoint,42.7,
201,Greenpoint,50.5,
202,Downtown - Heights - Slope,62.6,
202,Downtown - Heights - Slope,77.1,
202,Downtown - Heights - Slope,95.3,
202,Downtown - Heights - Slope,87.6,
203,Bedford Stuyvesant - Crown Heights,155.7,
203,Bedford Stuyvesant - Crown Heights,213.9,
203,Bedford Stuyvesant - Crown Heights,191.4,
203,Bedford Stuyvesant - Crown Heights,173.9,
204,East New York,136.8,
204,East New York,164,
204,East New York,163.6,
204,East New York,182.4,
205,Sunset Park,49.9,
205,Sunset Park,59.5,
205,Sunset Park,37.7,
205,Sunset Park,47.4,
206,Borough Park,22.7,
206,Borough Park,24,
206,Borough Park,22.5,
206,Borough Park,12.4,
207,East Flatbush - Flatbush,129.2,
207,East Flatbush - Flatbush,137.4,
207,East Flatbush - Flatbush,119.3,
207,East Flatbush - Flatbush,93.5,
208,Canarsie - Flatlands,79.4,
208,Canarsie - Flatlands,97.7,
208,Canarsie - Flatlands,98.8,
208,Canarsie - Flatlands,88.9,
208,Bensonhurst - Bay Ridge,16.9,
208,Bensonhurst - Bay Ridge,24.2,
208,Bensonhurst - Bay Ridge,24.9,
208,Bensonhurst - Bay Ridge,25.9,
210,Coney Island - Sheepshead Bay,42.4,
210,Coney Island - Sheepshead Bay,46.2,
210,Coney Island - Sheepshead Bay,33.4,
210,Coney Island - Sheepshead Bay,42.3,
211,Williamsburg - Bushwick,196.9,
211,Williamsburg - Bushwick,145.3,
211,Williamsburg - Bushwick,138.7,
211,Williamsburg - Bushwick,185.8,
301,Washington Heights,126.2,
301,Washington Heights,110.4,
301,Washington Heights,130.2,
301,Washington Heights,99.8,
302,Central Harlem - Morningside Heights,228.6,
302,Central Harlem - Morningside Heights,292.5,
302,Central Harlem - Morningside Heights,277.7,
302,Central Harlem - Morningside Heights,269.9,
303,East Harlem,276,
303,East Harlem,262.3,
303,East Harlem,261.6,
303,East Harlem,224.8,
304,Upper West Side,69.6,
304,Upper West Side,60.6,
304,Upper West Side,80.5,
304,Upper West Side,69.8,
305,Upper East Side,35.4,
305,Upper East Side,24.6,
305,Upper East Side,26.2,
305,Upper East Side,30,
306,Chelsea - Clinton,97.8,
306,Chelsea - Clinton,91.6,
306,Chelsea - Clinton,67.9,
306,Chelsea - Clinton,75.7,
307,Gramercy Park - Murray Hill,70,
307,Gramercy Park - Murray Hill,48.8,
307,Gramercy Park - Murray Hill,56.6,
307,Gramercy Park - Murray Hill,42.4,
308,Greenwich Village - SoHo,24.2,
308,Greenwich Village - SoHo,18.5,
308,Greenwich Village - SoHo,18,
308,Greenwich Village - SoHo,19.9,
309,Union Square - Lower East Side,85.8,
309,Union Square - Lower East Side,124.9,
309,Union Square - Lower East Side,144,
309,Union Square - Lower East Side,127,
310,Lower Manhattan,47.4,
310,Lower Manhattan,57.2,
310,Lower Manhattan,55.3,
310,Lower Manhattan,56.8,
401,Long Island City - Astoria,59.9,
401,Long Island City - Astoria,47.4,
401,Long Island City - Astoria,75,
401,Long Island City - Astoria,58.8,
402,West Queens,80.7,
402,West Queens,72.4,
402,West Queens,62,
402,West Queens,61.5,
403,Flushing - Clearview,40,
403,Flushing - Clearview,39.7,
403,Flushing - Clearview,38.8,
403,Flushing - Clearview,39.2,
404,Bayside - Little Neck,19,
404,Bayside - Little Neck,27.5,
404,Bayside - Little Neck,19.5,
404,Bayside - Little Neck,23.4,
405,Ridgewood - Forest Hills,40.4,
405,Ridgewood - Forest Hills,57.6,
405,Ridgewood - Forest Hills,56.3,
405,Ridgewood - Forest Hills,43.3,
406,Fresh Meadows,49.7,
406,Fresh Meadows,60.9,
406,Fresh Meadows,57.7,
406,Fresh Meadows,54.8,
407,Southwest Queens,89,
407,Southwest Queens,61.2,
407,Southwest Queens,63.5,
407,Southwest Queens,83.7,
408,Jamaica,144.7,
408,Jamaica,133.6,
408,Jamaica,103.9,
408,Jamaica,105.7,
409,Southeast Queens,72.9,
409,Southeast Queens,60.1,
409,Southeast Queens,90.2,
409,Southeast Queens,83.8,
410,Rockaways,84.8,
410,Rockaways,137.4,
410,Rockaways,91,
410,Rockaways,135.2,
501,Port Richmond,118.8,
501,Port Richmond,109.6,
501,Port Richmond,107.9,
501,Port Richmond,92.9,
502,Stapleton - St. George,73.2,
502,Stapleton - St. George,101.7,
502,Stapleton - St. George,94.8,
502,Stapleton - St. George,78.7,
503,Willowbrook,47.3,
503,Willowbrook,35.5,
503,Willowbrook,30.4,
503,Willowbrook,28,
504,South Beach - Tottenville,23.6,
504,South Beach - Tottenville,19.3,
504,South Beach - Tottenville,29.8,
504,South Beach - Tottenville,29,
