geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,39.27,
101,Kingsbridge - Riverdale,34.09,
101,Kingsbridge - Riverdale,35.19,
101,Kingsbridge - Riverdale,37.92,
101,Kingsbridge - Riverdale,35.19,
101,Kingsbridge - Riverdale,39.24,
102,Northeast Bronx,29.94,
102,Northeast Bronx,29.36,
102,Northeast Bronx,26.16,
102,Northeast Bronx,27.47,
102,Northeast Bronx,27.47,
102,Northeast Bronx,29.59,
103,Fordham - Bronx Pk,32.35,
103,Fordham - Bronx Pk,31.51,
103,Fordham - Bronx Pk,31.14,
103,Fordham - Bronx Pk,33.06,
103,Fordham - Bronx Pk,32.35,
103,Fordham - Bronx Pk,33.58,
104,Pelham - Throgs Neck,30,
104,Pelham - Throgs Neck,31.38,
104,Pelham - Throgs Neck,32.28,
104,Pelham - Throgs Neck,29.56,
104,Pelham - Throgs Neck,31.95,
104,Pelham - Throgs Neck,30,
105,Crotona -Tremont,34.93,
105,Crotona -Tremont,37.59,
105,Crotona -Tremont,34.3,
105,Crotona -Tremont,37.59,
105,Crotona -Tremont,34.03,
105,Crotona -Tremont,34.75,
106,High Bridge - Morrisania,41.32,
106,High Bridge - Morrisania,37.71,
106,High Bridge - Morrisania,42.74,
106,High Bridge - Morrisania,37.68,
106,High Bridge - Morrisania,37.71,
106,High Bridge - Morrisania,41.1,
107,Hunts Point - Mott Haven,44.73,
107,Hunts Point - Mott Haven,44.73,
107,Hunts Point - Mott Haven,40.21,
107,Hunts Point - Mott Haven,39.28,
107,Hunts Point - Mott Haven,42.11,
107,Hunts Point - Mott Haven,36.29,
201,Greenpoint,40.81,
201,Greenpoint,37.4,
201,Greenpoint,40.14,
201,Greenpoint,40.14,
201,Greenpoint,41.74,
201,Greenpoint,34.68,
202,Downtown - Heights - Slope,33.95,
202,Downtown - Heights - Slope,34.04,
202,Downtown - Heights - Slope,31.67,
202,Downtown - Heights - Slope,33.64,
202,Downtown - Heights - Slope,33.64,
202,Downtown - Heights - Slope,35.18,
203,Bedford Stuyvesant - Crown Heights,37.87,
203,Bedford Stuyvesant - Crown Heights,35.99,
203,Bedford Stuyvesant - Crown Heights,36.04,
203,Bedford Stuyvesant - Crown Heights,38.11,
203,Bedford Stuyvesant - Crown Heights,36.04,
203,Bedford Stuyvesant - Crown Heights,36.5,
204,East New York,29.18,
204,East New York,27.77,
204,East New York,23.8,
204,East New York,28.06,
204,East New York,25.72,
204,East New York,23.8,
205,Sunset Park,24.27,
205,Sunset Park,24.27,
205,Sunset Park,19.96,
205,Sunset Park,21.88,
205,Sunset Park,23.78,
205,Sunset Park,20.64,
206,Borough Park,29.48,
206,Borough Park,29.48,
206,Borough Park,29.23,
206,Borough Park,27.63,
206,Borough Park,28.08,
206,Borough Park,28.14,
207,East Flatbush - Flatbush,26.39,
207,East Flatbush - Flatbush,26.25,
207,East Flatbush - Flatbush,25.25,
207,East Flatbush - Flatbush,26.19,
207,East Flatbush - Flatbush,23.93,
207,East Flatbush - Flatbush,23.93,
208,Canarsie - Flatlands,24.39,
208,Canarsie - Flatlands,24.39,
208,Canarsie - Flatlands,23.77,
208,Canarsie - Flatlands,23.83,
208,Canarsie - Flatlands,22.72,
208,Canarsie - Flatlands,23.58,
208,Bensonhurst - Bay Ridge,28.11,
208,Bensonhurst - Bay Ridge,28.01,
208,Bensonhurst - Bay Ridge,28.67,
208,Bensonhurst - Bay Ridge,28.67,
208,Bensonhurst - Bay Ridge,28.93,
208,Bensonhurst - Bay Ridge,27.22,
210,Coney Island - Sheepshead Bay,33.23,
210,Coney Island - Sheepshead Bay,33.75,
210,Coney Island - Sheepshead Bay,31.53,
210,Coney Island - Sheepshead Bay,34.49,
210,Coney Island - Sheepshead Bay,31.53,
210,Coney Island - Sheepshead Bay,32.43,
211,Williamsburg - Bushwick,33.65,
211,Williamsburg - Bushwick,34.83,
211,Williamsburg - Bushwick,34.77,
211,Williamsburg - Bushwick,34.77,
211,Williamsburg - Bushwick,33.18,
211,Williamsburg - Bushwick,33.85,
301,Washington Heights,32.26,
301,Washington Heights,31.94,
301,Washington Heights,31.94,
301,Washington Heights,32.81,
301,Washington Heights,31.94,
301,Washington Heights,29.78,
302,Central Harlem - Morningside Heights,45.16,
302,Central Harlem - Morningside Heights,46.7,
302,Central Harlem - Morningside Heights,49.11,
302,Central Harlem - Morningside Heights,46.06,
302,Central Harlem - Morningside Heights,47.88,
302,Central Harlem - Morningside Heights,49.11,
303,East Harlem,37.4,
303,East Harlem,46.86,
303,East Harlem,37.4,
303,East Harlem,43.19,
303,East Harlem,46.27,
303,East Harlem,48.39,
304,Upper West Side,41.47,
304,Upper West Side,43.7,
304,Upper West Side,43.83,
304,Upper West Side,43.79,
304,Upper West Side,43.83,
304,Upper West Side,45.48,
305,Upper East Side,43.37,
305,Upper East Side,40.77,
305,Upper East Side,44.55,
305,Upper East Side,40.77,
305,Upper East Side,45.53,
305,Upper East Side,41.88,
306,Chelsea - Clinton,53.62,
306,Chelsea - Clinton,52.27,
306,Chelsea - Clinton,56.95,
306,Chelsea - Clinton,58.72,
306,Chelsea - Clinton,56.29,
306,Chelsea - Clinton,58.72,
307,Gramercy Park - Murray Hill,50.96,
307,Gramercy Park - Murray Hill,50.85,
307,Gramercy Park - Murray Hill,50.96,
307,Gramercy Park - Murray Hill,49.88,
307,Gramercy Park - Murray Hill,50.52,
307,Gramercy Park - Murray Hill,50.26,
308,Greenwich Village - SoHo,46,
308,Greenwich Village - SoHo,41.24,
308,Greenwich Village - SoHo,44.2,
308,Greenwich Village - SoHo,41.24,
308,Greenwich Village - SoHo,41.03,
308,Greenwich Village - SoHo,41.97,
309,Union Square - Lower East Side,37.47,
309,Union Square - Lower East Side,39.62,
309,Union Square - Lower East Side,36.64,
309,Union Square - Lower East Side,39.11,
309,Union Square - Lower East Side,41.08,
309,Union Square - Lower East Side,36.64,
310,Lower Manhattan,44.05,
310,Lower Manhattan,39.87,
310,Lower Manhattan,46.46,
310,Lower Manhattan,43.66,
310,Lower Manhattan,40.97,
310,Lower Manhattan,46.46,
401,Long Island City - Astoria,33.03,
401,Long Island City - Astoria,31.89,
401,Long Island City - Astoria,34.36,
401,Long Island City - Astoria,33.53,
401,Long Island City - Astoria,34.36,
401,Long Island City - Astoria,32.78,
402,West Queens,25.79,
402,West Queens,23.74,
402,West Queens,25.79,
402,West Queens,25.25,
402,West Queens,24.42,
402,West Queens,24.4,
403,Flushing - Clearview,23.49,
403,Flushing - Clearview,23.36,
403,Flushing - Clearview,23.18,
403,Flushing - Clearview,23.05,
403,Flushing - Clearview,23.49,
403,Flushing - Clearview,22.84,
404,Bayside - Little Neck,23.55,
404,Bayside - Little Neck,23.47,
404,Bayside - Little Neck,24.96,
404,Bayside - Little Neck,23.8,
404,Bayside - Little Neck,24.96,
404,Bayside - Little Neck,24.09,
405,Ridgewood - Forest Hills,31.28,
405,Ridgewood - Forest Hills,31,
405,Ridgewood - Forest Hills,31.31,
405,Ridgewood - Forest Hills,32.18,
405,Ridgewood - Forest Hills,31.31,
405,Ridgewood - Forest Hills,32.28,
406,Fresh Meadows,24.74,
406,Fresh Meadows,25.73,
406,Fresh Meadows,27.09,
406,Fresh Meadows,27.09,
406,Fresh Meadows,25,
406,Fresh Meadows,25.26,
407,Southwest Queens,17.61,
407,Southwest Queens,20.16,
407,Southwest Queens,16.72,
407,Southwest Queens,20.16,
407,Southwest Queens,17.16,
407,Southwest Queens,19.07,
408,Jamaica,22.04,
408,Jamaica,22.09,
408,Jamaica,22.09,
408,Jamaica,22.53,
408,Jamaica,23.08,
408,Jamaica,23,
409,Southeast Queens,19.41,
409,Southeast Queens,17.48,
409,Southeast Queens,18.8,
409,Southeast Queens,19.5,
409,Southeast Queens,18.73,
409,Southeast Queens,19.5,
410,Rockaways,31.26,
410,Rockaways,34.05,
410,Rockaways,26.28,
410,Rockaways,31.54,
410,Rockaways,26.28,
410,Rockaways,26.59,
501,Port Richmond,33.51,
501,Port Richmond,30.5,
501,Port Richmond,33.01,
501,Port Richmond,33.57,
501,Port Richmond,33.01,
501,Port Richmond,28.71,
502,Stapleton - St. George,26.77,
502,Stapleton - St. George,29.47,
502,Stapleton - St. George,25.69,
502,Stapleton - St. George,30.32,
502,Stapleton - St. George,25.69,
502,Stapleton - St. George,29.49,
503,Willowbrook,20.53,
503,Willowbrook,20.17,
503,Willowbrook,21.58,
503,Willowbrook,21.87,
503,Willowbrook,20.85,
503,Willowbrook,20.85,
504,South Beach - Tottenville,21.54,
504,South Beach - Tottenville,21.66,
504,South Beach - Tottenville,21.18,
504,South Beach - Tottenville,22.13,
504,South Beach - Tottenville,21.59,
504,South Beach - Tottenville,21.66,
