geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,1.71,
101,Kingsbridge - Riverdale,4.16,
101,Kingsbridge - Riverdale,3.71,
101,Kingsbridge - Riverdale,2.23,
101,Kingsbridge - Riverdale,5.31,
101,Kingsbridge - Riverdale,1,
101,Kingsbridge - Riverdale,6.62,
101,Kingsbridge - Riverdale,0.3,
102,Northeast Bronx,4.25,
102,Northeast Bronx,2.8,
102,Northeast Bronx,1.61,
102,Northeast Bronx,0.29,
102,Northeast Bronx,1.11,
102,Northeast Bronx,5.38,
102,Northeast Bronx,3.37,
102,Northeast Bronx,1.53,
103,Fordham - Bronx Pk,6.03,
103,Fordham - Bronx Pk,2.71,
103,Fordham - Bronx Pk,7.67,
103,Fordham - Bronx Pk,1.54,
103,Fordham - Bronx Pk,0.46,
103,Fordham - Bronx Pk,9.48,
103,Fordham - Bronx Pk,5.06,
103,Fordham - Bronx Pk,3.15,
104,Pelham - Throgs Neck,1.54,
104,Pelham - Throgs Neck,5.15,
104,Pelham - Throgs Neck,4.27,
104,Pelham - Throgs Neck,2.5,
104,Pelham - Throgs Neck,0.28,
104,Pelham - Throgs Neck,3.34,
104,Pelham - Throgs Neck,1.84,
104,Pelham - Throgs Neck,0.96,
105,Crotona -Tremont,9.36,
105,Crotona -Tremont,7.79,
105,Crotona -Tremont,3.28,
105,Crotona -Tremont,1.35,
105,Crotona -Tremont,6.1,
105,Crotona -Tremont,0.43,
105,Crotona -Tremont,4.92,
105,Crotona -Tremont,2.86,
106,High Bridge - Morrisania,1.2,
106,High Bridge - Morrisania,8.99,
106,High Bridge - Morrisania,5.99,
106,High Bridge - Morrisania,7.62,
106,High Bridge - Morrisania,4.75,
106,High Bridge - Morrisania,2.8,
106,High Bridge - Morrisania,3.33,
106,High Bridge - Morrisania,0.39,
107,Hunts Point - Mott Haven,3.54,
107,Hunts Point - Mott Haven,0.82,
107,Hunts Point - Mott Haven,2.63,
107,Hunts Point - Mott Haven,1.81,
107,Hunts Point - Mott Haven,0.25,
107,Hunts Point - Mott Haven,5.22,
107,Hunts Point - Mott Haven,1.87,
107,Hunts Point - Mott Haven,4.5,
201,Greenpoint,2.93,
201,Greenpoint,1.17,
201,Greenpoint,1.39,
201,Greenpoint,0.58,
201,Greenpoint,4.25,
201,Greenpoint,1.95,
201,Greenpoint,3.66,
201,Greenpoint,0.19,
202,Downtown - Heights - Slope,3.42,
202,Downtown - Heights - Slope,0.46,
202,Downtown - Heights - Slope,0.18,
202,Downtown - Heights - Slope,4.14,
202,Downtown - Heights - Slope,1.76,
202,Downtown - Heights - Slope,2.65,
202,Downtown - Heights - Slope,0.91,
202,Downtown - Heights - Slope,1.15,
203,Bedford Stuyvesant - Crown Heights,1.11,
203,Bedford Stuyvesant - Crown Heights,4.62,
203,Bedford Stuyvesant - Crown Heights,1.28,
203,Bedford Stuyvesant - Crown Heights,0.22,
203,Bedford Stuyvesant - Crown Heights,3.19,
203,Bedford Stuyvesant - Crown Heights,3.91,
203,Bedford Stuyvesant - Crown Heights,0.52,
203,Bedford Stuyvesant - Crown Heights,1.88,
204,East New York,1.01,
204,East New York,0.21,
204,East New York,1.57,
204,East New York,0.47,
204,East New York,2.86,
204,East New York,3.36,
204,East New York,3.89,
204,East New York,1.17,
205,Sunset Park,1.49,
205,Sunset Park,1.05,
205,Sunset Park,0.43,
205,Sunset Park,2.32,
205,Sunset Park,0.76,
205,Sunset Park,0.17,
205,Sunset Park,3.07,
205,Sunset Park,3.79,
206,Borough Park,3.48,
206,Borough Park,1.61,
206,Borough Park,0.87,
206,Borough Park,1.08,
206,Borough Park,0.48,
206,Borough Park,0.2,
206,Borough Park,4.28,
206,Borough Park,2.77,
207,East Flatbush - Flatbush,4.6,
207,East Flatbush - Flatbush,3.12,
207,East Flatbush - Flatbush,1,
207,East Flatbush - Flatbush,0.49,
207,East Flatbush - Flatbush,3.8,
207,East Flatbush - Flatbush,1.14,
207,East Flatbush - Flatbush,0.21,
207,East Flatbush - Flatbush,1.78,
208,Canarsie - Flatlands,1.21,
208,Canarsie - Flatlands,0.77,
208,Canarsie - Flatlands,0.4,
208,Canarsie - Flatlands,2.67,
208,Canarsie - Flatlands,0.86,
208,Canarsie - Flatlands,0.18,
208,Canarsie - Flatlands,3.22,
208,Canarsie - Flatlands,2.33,
208,Bensonhurst - Bay Ridge,0.95,
208,Bensonhurst - Bay Ridge,3.37,
208,Bensonhurst - Bay Ridge,2.72,
