geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,61.9,
101,Kingsbridge - Riverdale,63,
102,Northeast Bronx,36,
102,Northeast Bronx,34.3,
103,Fordham - Bronx Pk,40,
103,Fordham - Bronx Pk,38.2,
104,Pelham - Throgs Neck,42.4,
104,Pelham - Throgs Neck,46,
105,Crotona -Tremont,32,
105,Crotona -Tremont,30.9,
106,High Bridge - Morrisania,18.2,
106,High Bridge - Morrisania,21,
107,Hunts Point - Mott Haven,18,
107,Hunts Point - Mott Haven,16,
201,Greenpoint,14,
201,Greenpoint,12.1,
202,Downtown - Heights - Slope,19.6,
202,Downtown - Heights - Slope,22,
203,Bedford Stuyvesant - Crown Heights,23.5,
203,Bedford Stuyvesant - Crown Heights,25,
204,East New York,29,
204,East New York,27.1,
205,Sunset Park,26.5,
205,Sunset Park,29,
206,Borough Park,20.3,
206,Borough Park,24,
207,East Flatbush - Flatbush,28.2,
207,East Flatbush - Flatbush,30,
208,Canarsie - Flatlands,41,
208,Canarsie - Flatlands,40.3,
208,Bensonhurst - Bay Ridge,28,
208,Bensonhurst - Bay Ridge,24.7,
210,Coney Island - Sheepshead Bay,22.7,
210,Coney Island - Sheepshead Bay,23,
211,Williamsburg - Bushwick,16.8,
211,Williamsburg - Bushwick,18,
301,Washington Heights,33,
301,Washington Heights,35,
302,Central Harlem - Morningside Heights,26.8,
302,Central Harlem - Morningside Heights,29,
303,East Harlem,30.2,
303,East Harlem,31,
304,Upper West Side,26.7,
304,Upper West Side,29,
305,Upper East Side,20.2,
305,Upper East Side,22,
306,Chelsea - Clinton,11,
306,Chelsea - Clinton,7.8,
307,Gramercy Park - Murray Hill,10.9,
307,Gramercy Park - Murray Hill,13,
308,Greenwich Village - SoHo,9.7,
308,Greenwich Village - SoHo,13,
309,Union Square - Lower East Side,24.1,
309,Union Square - Lower East Side,25,
310,Lower Manhattan,22.6,
310,Lower Manhattan,24,
401,Long Island City - Astoria,17,
401,Long Island City - Astoria,18,
402,West Queens,23.2,
402,West Queens,24,
403,Flushing - Clearview,35.2,
403,Flushing - Clearview,38,
404,Bayside - Little Neck,55,
404,Bayside - Little Neck,52,
405,Ridgewood - Forest Hills,45,
405,Ridgewood - Forest Hills,43.9,
406,Fresh Meadows,44.3,
406,Fresh Meadows,46,
407,Southwest Queens,29,
407,Southwest Queens,27.8,
408,Jamaica,31.1,
408,Jamaica,35,
409,Southeast Queens,44,
409,Southeast Queens,39.2,
410,Rockaways,35.8,
410,Rockaways,37,
501,Port Richmond,35.8,
501,Port Richmond,41,
502,Stapleton - St. George,51,
502,Stapleton - St. George,48.5,
503,Willowbrook,61,
503,Willowbrook,59.1,
504,South Beach - Tottenville,59,
504,South Beach - Tottenville,55.2,
