geo_join_id,Neighborhood,Data Value,message
404,Bayside - Little Neck,39.6,
203,Bedford Stuyvesant - Crown Heights,120.5,
209,Bensonhurst - Bay Ridge,66.8,
206,Borough Park,80.2,
208,Canarsie - Flatlands,57,
302,Central Harlem - Morningside Heights,95.6,
306,Chelsea - Clinton,72.5,
210,Coney Island - Sheepshead Bay,96.7,
105,Crotona -Tremont,85.2,
202,Downtown - Heights - Slope,143.5,
207,East Flatbush - Flatbush,89.2,
303,East Harlem,156.4,
204,East New York,102.5,
403,Flushing - Clearview,64.9,
103,Fordham - Bronx Pk,83.4,
406,Fresh Meadows,70.1,
307,Gramercy Park - Murray Hill,72.3,
201,Greenpoint,125.6,
308,Greenwich Village - SoHo,68.3,
106,High Bridge - Morrisania,86,
107,Hunts Point - Mott Haven,92.5,
408,Jamaica,78.2,
101,Kingsbridge - Riverdale,56.3,
401,Long Island City - Astoria,86.2,
310,Lower Manhattan,79.4,
102,Northeast Bronx,71.4,
104,Pelham - Throgs Neck,83.4,
501,Port Richmond,89.2,
405,Ridgewood - Forest Hills,77.9,
410,Rockaways,72.1,
504,South Beach - Tottenville,48.1,
409,Southeast Queens,47.1,
407,Southwest Queens,71.2,
502,Stapleton - St. George,81.3,
205,Sunset Park,105.5,
309,Union Square - Lower East Side,136,
305,Upper East Side,50.9,
304,Upper West Side,52.9,
301,Washington Heights,95.8,
402,West Queens,127.5,
211,Williamsburg - Bushwick,211.9,
503,Willowbrook,52.1,
