geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,7,
102,Northeast Bronx,9,
103,Fordham - Bronx Pk,12,
104,Pelham - Throgs Neck,8,
105,Crotona -Tremont,14,
106,High Bridge - Morrisania,15,
107,Hunts Point - Mott Haven,18,
201,Greenpoint,17,
202,Downtown - Heights - Slope,28,
203,Bedford Stuyvesant - Crown Heights,19,
204,East New York,8,
205,Sunset Park,14,
206,Borough Park,6,
207,East Flatbush - Flatbush,14,
208,Canarsie - Flatlands,8,
208,Bensonhurst - Bay Ridge,9,
210,Coney Island - Sheepshead Bay,10,
211,Williamsburg - Bushwick,14,
301,Washington Heights,25,
302,Central Harlem - Morningside Heights,16,
303,East Harlem,23,
304,Upper West Side,32,
305,Upper East Side,25,
306,Chelsea - Clinton,32,
307,Gramercy Park - Murray Hill,23,
308,Greenwich Village - SoHo,29,
309,Union Square - Lower East Side,36,
310,Lower Manhattan,30,
401,Long Island City - Astoria,18,
402,West Queens,7,
403,Flushing - Clearview,3,
404,Bayside - Little Neck,6,
405,Ridgewood - Forest Hills,9,
406,Fresh Meadows,10,
407,Southwest Queens,3,
408,Jamaica,1,
409,Southeast Queens,3,
410,Rockaways,18,
501,Port Richmond,1,
502,Stapleton - St. George,6,
503,Willowbrook,4,
504,South Beach - Tottenville,4,
