geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,181.3,
102,Northeast Bronx,197.1,
103,Fordham - Bronx Pk,246.6,
104,Pelham - Throgs Neck,204.7,
105,Crotona -Tremont,259.7,
106,High Bridge - Morrisania,283,
107,Hunts Point - Mott Haven,306.3,
201,Greenpoint,151.4,
202,Downtown - Heights - Slope,128,
203,Bedford Stuyvesant - Crown Heights,266.7,
204,East New York,274.9,
205,Sunset Park,157.7,
206,Borough Park,126.9,
207,East Flatbush - Flatbush,192,
208,Canarsie - Flatlands,194.8,
208,Bensonhurst - Bay Ridge,150,
210,Coney Island - Sheepshead Bay,161.3,
211,Williamsburg - Bushwick,205.7,
301,Washington Heights,130.1,
302,Central Harlem - Morningside Heights,225.7,
303,East Harlem,287,
304,Upper West Side,107.1,
305,Upper East Side,82,
306,Chelsea - Clinton,95.2,
307,Gramercy Park - Murray Hill,119.6,
308,Greenwich Village - SoHo,59.9,
309,Union Square - Lower East Side,154.3,
310,Lower Manhattan,73.2,
401,Long Island City - Astoria,147.1,
402,West Queens,106.9,
403,Flushing - Clearview,116.1,
404,Bayside - Little Neck,81.7,
405,Ridgewood - Forest Hills,88.8,
406,Fresh Meadows,122.8,
407,Southwest Queens,137.1,
408,Jamaica,163.6,
409,Southeast Queens,99.7,
410,Rockaways,272.8,
501,Port Richmond,276.5,
502,Stapleton - St. George,229.9,
503,Willowbrook,153.1,
504,South Beach - Tottenville,157.4,
