geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,25.4,
101,Kingsbridge - Riverdale,17.5,
102,Northeast Bronx,17.2,
102,Northeast Bronx,17.8,
103,Fordham - Bronx Pk,53.4,
103,Fordham - Bronx Pk,49.9,
104,Pelham - Throgs Neck,27,
104,Pelham - Throgs Neck,24.3,
105,Crotona -Tremont,60.4,
105,Crotona -Tremont,53.2,
106,High Bridge - Morrisania,60.4,
106,High Bridge - Morrisania,53.2,
107,Hunts Point - Mott Haven,60.4,
107,Hunts Point - Mott Haven,53.2,
201,Greenpoint,34.9,
201,Greenpoint,45.9,
202,Downtown - Heights - Slope,26.7,
202,Downtown - Heights - Slope,40.2,
203,Bedford Stuyvesant - Crown Heights,39.1,
203,Bedford Stuyvesant - Crown Heights,41,
204,East New York,50.5,
204,East New York,37.9,
205,Sunset Park,29.7,
205,Sunset Park,37.9,
206,Borough Park,19.6,
206,Borough Park,15.2,
207,East Flatbush - Flatbush,36,
207,East Flatbush - Flatbush,34.7,
208,Canarsie - Flatlands,21.1,
208,Canarsie - Flatlands,15.1,
208,Bensonhurst - Bay Ridge,16.2,
208,Bensonhurst - Bay Ridge,14.4,
210,Coney Island - Sheepshead Bay,26.6,
210,Coney Island - Sheepshead Bay,11.6,
211,Williamsburg - Bushwick,58.8,
211,Williamsburg - Bushwick,43.5,
301,Washington Heights,53.5,
301,Washington Heights,56.4,
302,Central Harlem - Morningside Heights,58.6,
302,Central Harlem - Morningside Heights,41.8,
303,East Harlem,55.2,
303,East Harlem,41.9,
304,Upper West Side,30.9,
304,Upper West Side,43.2,
305,Upper East Side,27.8,
305,Upper East Side,26.3,
306,Chelsea - Clinton,45.6,
306,Chelsea - Clinton,49.2,
307,Gramercy Park - Murray Hill,26.3,
307,Gramercy Park - Murray Hill,27.8,
308,Greenwich Village - SoHo,49.2,
308,Greenwich Village - SoHo,45.6,
309,Union Square - Lower East Side,42.2,
309,Union Square - Lower East Side,47.4,
310,Lower Manhattan,47.4,
310,Lower Manhattan,42.2,
401,Long Island City - Astoria,23.1,
401,Long Island City - Astoria,16.5,
402,West Queens,17.7,
402,West Queens,26.2,
403,Flushing - Clearview,14.1,
403,Flushing - Clearview,14.1,
404,Bayside - Little Neck,7.7,
404,Bayside - Little Neck,8.6,
405,Ridgewood - Forest Hills,15.3,
405,Ridgewood - Forest Hills,15.7,
406,Fresh Meadows,7.7,
406,Fresh Meadows,8.6,
407,Southwest Queens,18.5,
407,Southwest Queens,18.9,
408,Jamaica,24.2,
408,Jamaica,12.3,
409,Southeast Queens,13.5,
409,Southeast Queens,8,
410,Rockaways,10.5,
410,Rockaways,20.4,
501,Port Richmond,11.7,
501,Port Richmond,21.9,
502,Stapleton - St. George,21.9,
502,Stapleton - St. George,11.7,
503,Willowbrook,9.4,
503,Willowbrook,10.4,
504,South Beach - Tottenville,10.4,
504,South Beach - Tottenville,9.4,
