geo_join_id,neighborhood,data_value,message
101,Kingsbridge - Riverdale,3.5,
102,Northeast Bronx,6.9,
103,Fordham - Bronx Pk,7.1,
104,Pelham - Throgs Neck,4.9,
105,Crotona -Tremont,8.6,
106,High Bridge - Morrisania,9.7,
107,Hunts Point - Mott Haven,6.8,
201,Greenpoint,9.3,
202,Downtown - Heights - Slope,8.8,
203,Bedford Stuyvesant - Crown Heights,10.5,
204,East New York,8.2,
205,Sunset Park,6.1,
206,Borough Park,9.5,
207,East Flatbush - Flatbush,8.1,
208,Canarsie - Flatlands,4.6,
208,Bensonhurst - Bay Ridge,7.4,
210,Coney Island - Sheepshead Bay,7.4,
211,Williamsburg - Bushwick,10.8,
301,Washington Heights,8.9,
302,Central Harlem - Morningside Heights,11,
303,East Harlem,7,
304,Upper West Side,10.1,
305,Upper East Side,10.7,
306,Chelsea - Clinton,11.1,
307,Gramercy Park - Murray Hill,11,
308,Greenwich Village - SoHo,11.3,
309,Union Square - Lower East Side,9.6,
310,Lower Manhattan,10,
401,Long Island City - Astoria,9.1,
402,West Queens,7.8,
403,Flushing - Clearview,6.8,
404,Bayside - Little Neck,6.2,
405,Ridgewood - Forest Hills,6.6,
406,Fresh Meadows,6,
407,Southwest Queens,8,
408,Jamaica,7.7,
409,Southeast Queens,7.6,
410,Rockaways,3.7,
501,Port Richmond,4.5,
502,Stapleton - St. George,4.1,
503,Willowbrook,2.7,
504,South Beach - Tottenville,3.5,
